Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;Random;Manhattan;Always;Yes;0;90;28,3847763108502;
A* (A Star);0;Random;Euclidean;Always;Yes;1;153;27,2132034355964;
A* (A Star);0;Random;Octile;Always;Yes;1;136;27,2132034355964;
A* (A Star);0;Random;Chebyshev;Always;Yes;4;228;27,2132034355964;
Best First Search;0;Random;Manhattan;Always;Yes;0;78;28,3847763108502;
Best First Search;0;Random;Euclidean;Always;Yes;0;80;27,2132034355964;
Best First Search;0;Random;Octile;Always;Yes;0;80;27,2132034355964;
Best First Search;0;Random;Chebyshev;Always;Yes;0;93;35,7989898732233;
IDA* (IDA Star);0;Random;Manhattan;Always;Yes;0;0;35,7989898732233;
IDA* (IDA Star);0;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);0;Random;Octile;Always;Yes;285;0;35,7989898732233;
IDA* (IDA Star);0;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;0;Random;Manhattan;Always;Yes;29;882;27,2132034355964;
Dijkstra;0;Random;Euclidean;Always;Yes;27;882;27,2132034355964;
Dijkstra;0;Random;Octile;Always;Yes;27;882;27,2132034355964;
Dijkstra;0;Random;Chebyshev;Always;Yes;27;882;27,2132034355964;
A* (A Star);1;Random;Manhattan;Always;Yes;3;275;56,0416305603426;
A* (A Star);1;Random;Euclidean;Always;Yes;11;488;54,6274169979695;
A* (A Star);1;Random;Octile;Always;Yes;5;343;54,6274169979695;
A* (A Star);1;Random;Chebyshev;Always;Yes;21;750;54,6274169979695;
Best First Search;1;Random;Manhattan;Always;Yes;0;145;59,9411254969543;
Best First Search;1;Random;Euclidean;Always;Yes;0;147;61,254833995939;
Best First Search;1;Random;Octile;Always;Yes;0;147;61,254833995939;
Best First Search;1;Random;Chebyshev;Always;Yes;0;157;61,5979797464466;
IDA* (IDA Star);1;Random;Manhattan;Always;Yes;0;0;61,5979797464466;
IDA* (IDA Star);1;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);1;Random;Octile;Always;Yes;166;0;61,5979797464466;
IDA* (IDA Star);1;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;1;Random;Manhattan;Always;Yes;297;3012;54,6274169979695;
Dijkstra;1;Random;Euclidean;Always;Yes;291;3012;54,6274169979695;
Dijkstra;1;Random;Octile;Always;Yes;293;3012;54,6274169979695;
Dijkstra;1;Random;Chebyshev;Always;Yes;295;3012;54,6274169979695;
A* (A Star);2;Random;Manhattan;Always;Yes;0;132;42,2842712474619;
A* (A Star);2;Random;Euclidean;Always;Yes;5;324;41,4558441227157;
A* (A Star);2;Random;Octile;Always;Yes;1;208;41,4558441227157;
A* (A Star);2;Random;Chebyshev;Always;Yes;9;478;41,4558441227157;
Best First Search;2;Random;Manhattan;Always;Yes;0;115;43,1126983722081;
Best First Search;2;Random;Euclidean;Always;Yes;0;115;43,1126983722081;
Best First Search;2;Random;Octile;Always;Yes;0;115;43,1126983722081;
Best First Search;2;Random;Chebyshev;Always;Yes;0;121;48,5269119345812;
IDA* (IDA Star);2;Random;Manhattan;Always;Yes;0;0;48,5269119345812;
IDA* (IDA Star);2;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);2;Random;Octile;Always;Yes;0;0;48,5269119345812;
IDA* (IDA Star);2;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;2;Random;Manhattan;Always;Yes;340;3249;41,4558441227157;
Dijkstra;2;Random;Euclidean;Always;Yes;347;3249;41,4558441227157;
Dijkstra;2;Random;Octile;Always;Yes;345;3249;41,4558441227157;
Dijkstra;2;Random;Chebyshev;Always;Yes;342;3249;41,4558441227157;
A* (A Star);3;Random;Manhattan;Always;Yes;1;78;21,0710678118655;
A* (A Star);3;Random;Euclidean;Always;Yes;0;86;21,0710678118655;
A* (A Star);3;Random;Octile;Always;Yes;0;79;21,0710678118655;
A* (A Star);3;Random;Chebyshev;Always;Yes;0;119;21,0710678118655;
Best First Search;3;Random;Manhattan;Always;Yes;0;59;23,5563491861041;
Best First Search;3;Random;Euclidean;Always;Yes;0;58;23,5563491861041;
Best First Search;3;Random;Octile;Always;Yes;0;58;23,5563491861041;
Best First Search;3;Random;Chebyshev;Always;Yes;0;50;21,0710678118655;
IDA* (IDA Star);3;Random;Manhattan;Always;Yes;2;0;21,0710678118655;
IDA* (IDA Star);3;Random;Euclidean;Always;Yes;59;0;21,0710678118655;
IDA* (IDA Star);3;Random;Octile;Always;Yes;1;0;21,0710678118655;
IDA* (IDA Star);3;Random;Chebyshev;Always;Yes;10;0;21,0710678118655;
Dijkstra;3;Random;Manhattan;Always;Yes;26;868;21,0710678118655;
Dijkstra;3;Random;Euclidean;Always;Yes;25;868;21,0710678118655;
Dijkstra;3;Random;Octile;Always;Yes;25;868;21,0710678118655;
Dijkstra;3;Random;Chebyshev;Always;Yes;25;868;21,0710678118655;
A* (A Star);4;Random;Manhattan;Always;Yes;2;250;97,7817459305201;
A* (A Star);4;Random;Euclidean;Always;Yes;44;1077;97,7817459305201;
A* (A Star);4;Random;Octile;Always;Yes;17;666;97,7817459305201;
A* (A Star);4;Random;Chebyshev;Always;Yes;174;2300;97,7817459305201;
Best First Search;4;Random;Manhattan;Always;Yes;2;247;102,024386617639;
Best First Search;4;Random;Euclidean;Always;Yes;2;249;106,267027304759;
Best First Search;4;Random;Octile;Always;Yes;2;247;107,095454429505;
Best First Search;4;Random;Chebyshev;Always;Yes;2;263;106,225396744416;
