Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;48;Genetic Algorithm;0;Random;Manhattan;Always;Yes;2019;1077;10,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;61;Genetic Algorithm;0;Random;Euclidean;Always;Yes;2336;1133;19,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;75;Genetic Algorithm;0;Random;Octile;Always;Yes;2616;1213;15,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;42;Genetic Algorithm;0;Random;Chebyshev;Always;Yes;2045;1242;12,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;175;Genetic Algorithm;1;Random;Manhattan;Always;Yes;9638;1819;22,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;82;Genetic Algorithm;1;Random;Euclidean;Always;Yes;2950;1184;14,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;80;Genetic Algorithm;1;Random;Octile;Always;Yes;3053;1375;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;166;Genetic Algorithm;1;Random;Chebyshev;Always;Yes;6519;1241;18,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;76;Genetic Algorithm;2;Random;Manhattan;Always;Yes;4497;1732;15,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;86;Genetic Algorithm;2;Random;Euclidean;Always;Yes;4109;1393;16,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;107;Genetic Algorithm;2;Random;Octile;Always;Yes;6119;1769;19,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;56;Genetic Algorithm;2;Random;Chebyshev;Always;Yes;3063;1559;16,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;53;Genetic Algorithm;3;Random;Manhattan;Always;Yes;1766;1155;10,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;10;Genetic Algorithm;3;Random;Euclidean;Always;Yes;494;1192;28,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;58;Genetic Algorithm;3;Random;Octile;Always;Yes;1881;1497;7,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;57;Genetic Algorithm;3;Random;Chebyshev;Always;Yes;2070;1352;7,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Random;Manhattan;Always;No;10725;1389;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;201;Genetic Algorithm;4;Random;Euclidean;Always;Yes;10907;1781;13,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;176;Genetic Algorithm;4;Random;Octile;Always;Yes;9453;1977;18,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;137;Genetic Algorithm;4;Random;Chebyshev;Always;Yes;8182;2131;17,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;116;Genetic Algorithm;5;Random;Manhattan;Always;Yes;3728;1085;13,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;48;Genetic Algorithm;5;Random;Euclidean;Always;Yes;2357;1476;20,9705627484771;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;98;Genetic Algorithm;5;Random;Octile;Always;Yes;3437;1173;9,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;72;Genetic Algorithm;5;Random;Chebyshev;Always;Yes;2406;1217;8,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;134;Genetic Algorithm;6;Random;Manhattan;Always;Yes;5872;1953;10,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;100;Genetic Algorithm;6;Random;Euclidean;Always;Yes;5839;1589;31,2132034355964;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;48;Genetic Algorithm;6;Random;Octile;Always;Yes;2206;1650;13,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;123;Genetic Algorithm;6;Random;Chebyshev;Always;Yes;6617;1806;16,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;109;Genetic Algorithm;7;Random;Manhattan;Always;Yes;4600;1305;17,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;140;Genetic Algorithm;7;Random;Euclidean;Always;Yes;6294;1546;16,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;108;Genetic Algorithm;7;Random;Octile;Always;Yes;4787;1534;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;128;Genetic Algorithm;7;Random;Chebyshev;Always;Yes;6329;1756;13,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;71;Genetic Algorithm;8;Random;Manhattan;Always;Yes;2885;1364;19,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;107;Genetic Algorithm;8;Random;Euclidean;Always;Yes;5734;1790;21,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;43;Genetic Algorithm;8;Random;Octile;Always;Yes;1729;1130;12,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;76;Genetic Algorithm;8;Random;Chebyshev;Always;Yes;2936;1190;11,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;49;Genetic Algorithm;9;Random;Manhattan;Always;Yes;2204;1257;12,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;64;Genetic Algorithm;9;Random;Euclidean;Always;Yes;2674;1145;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;43;Genetic Algorithm;9;Random;Octile;Always;Yes;1771;1241;14,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;52;Genetic Algorithm;9;Random;Chebyshev;Always;Yes;2322;1235;16,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;126;Genetic Algorithm;10;Random;Manhattan;Always;Yes;5589;1715;21,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;152;Genetic Algorithm;10;Random;Euclidean;Always;Yes;5458;1450;15,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;161;Genetic Algorithm;10;Random;Octile;Always;Yes;5248;1198;9,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;186;Genetic Algorithm;10;Random;Chebyshev;Always;Yes;7862;1742;20,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;71;Genetic Algorithm;11;Random;Manhattan;Always;Yes;1901;1234;13,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;56;Genetic Algorithm;11;Random;Euclidean;Always;Yes;2196;1365;23,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;46;Genetic Algorithm;11;Random;Octile;Always;Yes;1658;1372;9,48528137423857;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;118;Genetic Algorithm;11;Random;Chebyshev;Always;Yes;3985;1192;20,7279220613579;
