Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;Random;Manhattan;IfAtMostOneObstacle;Yes;11;499;72,0121933088197;
A* (A Star);0;Random;Euclidean;IfAtMostOneObstacle;Yes;43;1072;71,4264068711928;
A* (A Star);0;Random;Octile;IfAtMostOneObstacle;Yes;35;992;71,4264068711928;
A* (A Star);0;Random;Chebyshev;IfAtMostOneObstacle;Yes;53;1266;71,4264068711928;
Best First Search;0;Random;Manhattan;IfAtMostOneObstacle;Yes;1;208;78,6396103067892;
Best First Search;0;Random;Euclidean;IfAtMostOneObstacle;Yes;1;203;81,4680374315354;
Best First Search;0;Random;Octile;IfAtMostOneObstacle;Yes;1;203;81,4680374315354;
Best First Search;0;Random;Chebyshev;IfAtMostOneObstacle;Yes;1;194;79,4264068711928;
IDA* (IDA Star);0;Random;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;Random;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;Random;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;Random;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;0;Random;Manhattan;IfAtMostOneObstacle;Yes;1136;6013;71,4264068711928;
Dijkstra;0;Random;Euclidean;IfAtMostOneObstacle;Yes;1130;6013;71,4264068711928;
Dijkstra;0;Random;Octile;IfAtMostOneObstacle;Yes;1145;6013;71,4264068711928;
Dijkstra;0;Random;Chebyshev;IfAtMostOneObstacle;Yes;1134;6013;71,4264068711928;
A* (A Star);1;Random;Manhattan;IfAtMostOneObstacle;Yes;0;88;35,0416305603426;
A* (A Star);1;Random;Euclidean;IfAtMostOneObstacle;Yes;1;154;35,0416305603426;
A* (A Star);1;Random;Octile;IfAtMostOneObstacle;Yes;0;133;35,0416305603426;
A* (A Star);1;Random;Chebyshev;IfAtMostOneObstacle;Yes;2;209;35,0416305603426;
Best First Search;1;Random;Manhattan;IfAtMostOneObstacle;Yes;0;85;37,5269119345812;
Best First Search;1;Random;Euclidean;IfAtMostOneObstacle;Yes;0;89;37,5269119345812;
Best First Search;1;Random;Octile;IfAtMostOneObstacle;Yes;0;89;37,5269119345812;
Best First Search;1;Random;Chebyshev;IfAtMostOneObstacle;Yes;0;97;36,2132034355964;
IDA* (IDA Star);1;Random;Manhattan;IfAtMostOneObstacle;Yes;0;0;36,2132034355964;
IDA* (IDA Star);1;Random;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);1;Random;Octile;IfAtMostOneObstacle;No;5001;0;-1;
