Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;582;Genetic Algorithm;0;Random;Manhattan;IfAtMostOneObstacle;Yes;16452;1940;17,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;Random;Euclidean;IfAtMostOneObstacle;No;61448;1857;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;462;Genetic Algorithm;0;Random;Octile;IfAtMostOneObstacle;Yes;11325;1482;25,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;Random;Chebyshev;IfAtMostOneObstacle;No;17789;2522;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;133;Genetic Algorithm;1;Random;Manhattan;IfAtMostOneObstacle;Yes;4144;1620;11,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;72;Genetic Algorithm;1;Random;Euclidean;IfAtMostOneObstacle;Yes;1921;1173;15,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;121;Genetic Algorithm;1;Random;Octile;IfAtMostOneObstacle;Yes;5996;2177;9,24264068711929;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;89;Genetic Algorithm;1;Random;Chebyshev;IfAtMostOneObstacle;Yes;2440;984;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;183;Genetic Algorithm;2;Random;Manhattan;IfAtMostOneObstacle;Yes;7245;1286;14,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;213;Genetic Algorithm;2;Random;Euclidean;IfAtMostOneObstacle;Yes;8933;1990;16,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;220;Genetic Algorithm;2;Random;Octile;IfAtMostOneObstacle;Yes;7860;1432;12,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;234;Genetic Algorithm;2;Random;Chebyshev;IfAtMostOneObstacle;Yes;9116;1844;20,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Manhattan;IfAtMostOneObstacle;No;9561;1438;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;218;Genetic Algorithm;3;Random;Euclidean;IfAtMostOneObstacle;Yes;8073;1657;17,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Octile;IfAtMostOneObstacle;No;10272;1180;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;447;Genetic Algorithm;3;Random;Chebyshev;IfAtMostOneObstacle;Yes;25668;1734;23,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;65;Genetic Algorithm;4;Random;Manhattan;IfAtMostOneObstacle;Yes;2674;1102;19,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;144;Genetic Algorithm;4;Random;Euclidean;IfAtMostOneObstacle;Yes;5079;1204;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;37;Genetic Algorithm;4;Random;Octile;IfAtMostOneObstacle;Yes;1756;1408;16,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;34;Genetic Algorithm;4;Random;Chebyshev;IfAtMostOneObstacle;Yes;1347;1084;16,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Random;Manhattan;IfAtMostOneObstacle;No;15057;1303;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Random;Euclidean;IfAtMostOneObstacle;No;13309;1030;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;280;Genetic Algorithm;5;Random;Octile;IfAtMostOneObstacle;Yes;10702;1360;12,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Random;Chebyshev;IfAtMostOneObstacle;No;24841;2844;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Manhattan;IfAtMostOneObstacle;No;16926;1177;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Euclidean;IfAtMostOneObstacle;No;11954;1224;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Octile;IfAtMostOneObstacle;No;10610;1173;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Chebyshev;IfAtMostOneObstacle;No;9818;1087;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;160;Genetic Algorithm;7;Random;Manhattan;IfAtMostOneObstacle;Yes;7551;1739;20,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;235;Genetic Algorithm;7;Random;Euclidean;IfAtMostOneObstacle;Yes;5844;1307;17,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;132;Genetic Algorithm;7;Random;Octile;IfAtMostOneObstacle;Yes;7904;2602;24,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;283;Genetic Algorithm;7;Random;Chebyshev;IfAtMostOneObstacle;Yes;19828;2718;20,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;314;Genetic Algorithm;8;Random;Manhattan;IfAtMostOneObstacle;Yes;9861;1424;11,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;242;Genetic Algorithm;8;Random;Euclidean;IfAtMostOneObstacle;Yes;12990;1928;17,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;8;Random;Octile;IfAtMostOneObstacle;No;18074;1375;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;214;Genetic Algorithm;8;Random;Chebyshev;IfAtMostOneObstacle;Yes;7840;1215;11,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;245;Genetic Algorithm;9;Random;Manhattan;IfAtMostOneObstacle;Yes;8281;1326;14,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;285;Genetic Algorithm;9;Random;Euclidean;IfAtMostOneObstacle;Yes;7422;1471;13,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;450;Genetic Algorithm;9;Random;Octile;IfAtMostOneObstacle;Yes;13158;1548;15,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;188;Genetic Algorithm;9;Random;Chebyshev;IfAtMostOneObstacle;Yes;9531;2160;22,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;337;Genetic Algorithm;10;Random;Manhattan;IfAtMostOneObstacle;Yes;7995;1158;10,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;486;Genetic Algorithm;10;Random;Euclidean;IfAtMostOneObstacle;Yes;9258;1029;10,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;379;Genetic Algorithm;10;Random;Octile;IfAtMostOneObstacle;Yes;7318;1189;8,07106781186548;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;10;Random;Chebyshev;IfAtMostOneObstacle;No;15065;1049;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;314;Genetic Algorithm;11;Random;Manhattan;IfAtMostOneObstacle;Yes;14364;1769;16,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;259;Genetic Algorithm;11;Random;Euclidean;IfAtMostOneObstacle;Yes;10660;1524;12,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;440;Genetic Algorithm;11;Random;Octile;IfAtMostOneObstacle;Yes;24761;2419;31,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;369;Genetic Algorithm;11;Random;Chebyshev;IfAtMostOneObstacle;Yes;17687;2615;22,9705627484771;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;147;Genetic Algorithm;12;Random;Manhattan;IfAtMostOneObstacle;Yes;5045;1389;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;154;Genetic Algorithm;12;Random;Euclidean;IfAtMostOneObstacle;Yes;7442;1735;20,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;112;Genetic Algorithm;12;Random;Octile;IfAtMostOneObstacle;Yes;9122;2571;32,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;174;Genetic Algorithm;12;Random;Chebyshev;IfAtMostOneObstacle;Yes;6024;1369;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;166;Genetic Algorithm;13;Random;Manhattan;IfAtMostOneObstacle;Yes;4190;1214;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;398;Genetic Algorithm;13;Random;Euclidean;IfAtMostOneObstacle;Yes;21555;1622;14,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;87;Genetic Algorithm;13;Random;Octile;IfAtMostOneObstacle;Yes;3116;1350;11,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;96;Genetic Algorithm;13;Random;Chebyshev;IfAtMostOneObstacle;Yes;3405;1053;12,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;79;Genetic Algorithm;14;Random;Manhattan;IfAtMostOneObstacle;Yes;3771;1235;15,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;56;Genetic Algorithm;14;Random;Euclidean;IfAtMostOneObstacle;Yes;3888;1982;17,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;429;Genetic Algorithm;14;Random;Octile;IfAtMostOneObstacle;Yes;7317;1268;17,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;40;Genetic Algorithm;14;Random;Chebyshev;IfAtMostOneObstacle;Yes;1701;1181;13,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;203;Genetic Algorithm;15;Random;Manhattan;IfAtMostOneObstacle;Yes;8296;1992;21,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;146;Genetic Algorithm;15;Random;Euclidean;IfAtMostOneObstacle;Yes;6131;1913;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;163;Genetic Algorithm;15;Random;Octile;IfAtMostOneObstacle;Yes;7170;2140;17,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;215;Genetic Algorithm;15;Random;Chebyshev;IfAtMostOneObstacle;Yes;9115;2011;15,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;301;Genetic Algorithm;16;Random;Manhattan;IfAtMostOneObstacle;Yes;11724;1528;31,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;16;Random;Euclidean;IfAtMostOneObstacle;No;10090;904;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;517;Genetic Algorithm;16;Random;Octile;IfAtMostOneObstacle;Yes;13077;1376;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;16;Random;Chebyshev;IfAtMostOneObstacle;No;13605;954;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;192;Genetic Algorithm;17;Random;Manhattan;IfAtMostOneObstacle;Yes;8415;1636;17,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;129;Genetic Algorithm;17;Random;Euclidean;IfAtMostOneObstacle;Yes;4394;1454;15,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;129;Genetic Algorithm;17;Random;Octile;IfAtMostOneObstacle;Yes;4414;1311;19,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;193;Genetic Algorithm;17;Random;Chebyshev;IfAtMostOneObstacle;Yes;15747;2628;30,4558441227157;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;63;Genetic Algorithm;18;Random;Manhattan;IfAtMostOneObstacle;Yes;1557;953;3,41421356237309;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;0;Genetic Algorithm;18;Random;Euclidean;IfAtMostOneObstacle;Yes;0;0;18,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;26;Genetic Algorithm;18;Random;Octile;IfAtMostOneObstacle;Yes;884;1031;23,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;51;Genetic Algorithm;18;Random;Chebyshev;IfAtMostOneObstacle;Yes;1166;1043;4,24264068711929;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;19;Random;Manhattan;IfAtMostOneObstacle;No;14485;1270;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;19;Random;Euclidean;IfAtMostOneObstacle;No;13327;1273;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;19;Random;Octile;IfAtMostOneObstacle;No;14003;1233;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;19;Random;Chebyshev;IfAtMostOneObstacle;No;13880;1318;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;171;Genetic Algorithm;20;Random;Manhattan;IfAtMostOneObstacle;Yes;7112;1352;10,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;286;Genetic Algorithm;20;Random;Euclidean;IfAtMostOneObstacle;Yes;5869;1275;13,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;334;Genetic Algorithm;20;Random;Octile;IfAtMostOneObstacle;Yes;9549;1115;8,24264068711928;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;244;Genetic Algorithm;20;Random;Chebyshev;IfAtMostOneObstacle;Yes;5886;1207;15,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;21;Random;Manhattan;IfAtMostOneObstacle;No;22006;1437;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;336;Genetic Algorithm;21;Random;Euclidean;IfAtMostOneObstacle;Yes;8076;1422;19,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;21;Random;Octile;IfAtMostOneObstacle;No;13748;1412;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;21;Random;Chebyshev;IfAtMostOneObstacle;No;21448;1181;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;42;Genetic Algorithm;22;Random;Manhattan;IfAtMostOneObstacle;Yes;1065;719;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;22;Random;Euclidean;IfAtMostOneObstacle;Yes;65;758;25,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;47;Genetic Algorithm;22;Random;Octile;IfAtMostOneObstacle;Yes;1290;841;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;51;Genetic Algorithm;22;Random;Chebyshev;IfAtMostOneObstacle;Yes;1252;975;15,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;23;Random;Manhattan;IfAtMostOneObstacle;No;3644;996;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;23;Random;Euclidean;IfAtMostOneObstacle;No;3671;925;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;23;Random;Octile;IfAtMostOneObstacle;No;3007;952;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;23;Random;Chebyshev;IfAtMostOneObstacle;No;9711;1172;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;24;Random;Manhattan;IfAtMostOneObstacle;No;7340;962;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;24;Random;Euclidean;IfAtMostOneObstacle;No;7210;990;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;24;Random;Octile;IfAtMostOneObstacle;No;7293;939;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;24;Random;Chebyshev;IfAtMostOneObstacle;No;7663;990;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;230;Genetic Algorithm;25;Random;Manhattan;IfAtMostOneObstacle;Yes;6606;1137;14,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;278;Genetic Algorithm;25;Random;Euclidean;IfAtMostOneObstacle;Yes;6434;1227;11,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;460;Genetic Algorithm;25;Random;Octile;IfAtMostOneObstacle;Yes;12661;1391;19,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;206;Genetic Algorithm;25;Random;Chebyshev;IfAtMostOneObstacle;Yes;5647;1150;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;26;Random;Manhattan;IfAtMostOneObstacle;No;10498;1462;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;26;Random;Euclidean;IfAtMostOneObstacle;No;13304;1434;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;26;Random;Octile;IfAtMostOneObstacle;No;10009;1036;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;26;Random;Chebyshev;IfAtMostOneObstacle;No;8859;1657;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;256;Genetic Algorithm;27;Random;Manhattan;IfAtMostOneObstacle;Yes;9458;1180;16,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;194;Genetic Algorithm;27;Random;Euclidean;IfAtMostOneObstacle;Yes;4927;1167;10,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;229;Genetic Algorithm;27;Random;Octile;IfAtMostOneObstacle;Yes;6784;1258;14,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;170;Genetic Algorithm;27;Random;Chebyshev;IfAtMostOneObstacle;Yes;3825;1040;15,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;113;Genetic Algorithm;28;Random;Manhattan;IfAtMostOneObstacle;Yes;5017;1643;13,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;178;Genetic Algorithm;28;Random;Euclidean;IfAtMostOneObstacle;Yes;7861;1449;7,82842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;144;Genetic Algorithm;28;Random;Octile;IfAtMostOneObstacle;Yes;6158;2685;26,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;96;Genetic Algorithm;28;Random;Chebyshev;IfAtMostOneObstacle;Yes;4899;1528;21,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;29;Random;Manhattan;IfAtMostOneObstacle;No;11760;1648;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;240;Genetic Algorithm;29;Random;Euclidean;IfAtMostOneObstacle;Yes;9885;1905;26,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;209;Genetic Algorithm;29;Random;Octile;IfAtMostOneObstacle;Yes;5328;1235;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;664;Genetic Algorithm;29;Random;Chebyshev;IfAtMostOneObstacle;Yes;14544;2190;33,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;30;Random;Manhattan;IfAtMostOneObstacle;No;6693;1111;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;30;Random;Euclidean;IfAtMostOneObstacle;No;7717;980;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;30;Random;Octile;IfAtMostOneObstacle;No;8030;1159;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;30;Random;Chebyshev;IfAtMostOneObstacle;No;7955;1046;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;180;Genetic Algorithm;31;Random;Manhattan;IfAtMostOneObstacle;Yes;4645;1154;16,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;265;Genetic Algorithm;31;Random;Euclidean;IfAtMostOneObstacle;Yes;8239;1301;16,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;238;Genetic Algorithm;31;Random;Octile;IfAtMostOneObstacle;Yes;10961;1875;20,3137084989848;
