Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;Random;Manhattan;Never;Yes;2;186;36;
A* (A Star);0;Random;Euclidean;Never;Yes;1;260;36;
A* (A Star);0;Random;Octile;Never;Yes;1;236;36;
A* (A Star);0;Random;Chebyshev;Never;Yes;2;313;36;
Best First Search;0;Random;Manhattan;Never;Yes;0;78;40;
Best First Search;0;Random;Euclidean;Never;Yes;0;76;40;
Best First Search;0;Random;Octile;Never;Yes;0;76;40;
Best First Search;0;Random;Chebyshev;Never;Yes;0;106;50;
IDA* (IDA Star);0;Random;Manhattan;Never;Yes;428;0;50;
IDA* (IDA Star);0;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);0;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);0;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;0;Random;Manhattan;Never;Yes;14;893;36;
Dijkstra;0;Random;Euclidean;Never;Yes;14;893;36;
Dijkstra;0;Random;Octile;Never;Yes;14;893;36;
Dijkstra;0;Random;Chebyshev;Never;Yes;14;893;36;
A* (A Star);1;Random;Manhattan;Never;Yes;10;647;75;
A* (A Star);1;Random;Euclidean;Never;Yes;18;924;75;
A* (A Star);1;Random;Octile;Never;Yes;15;828;75;
A* (A Star);1;Random;Chebyshev;Never;Yes;23;1075;75;
Best First Search;1;Random;Manhattan;Never;Yes;1;206;91;
Best First Search;1;Random;Euclidean;Never;Yes;0;162;75;
Best First Search;1;Random;Octile;Never;Yes;0;167;75;
Best First Search;1;Random;Chebyshev;Never;Yes;0;166;75;
IDA* (IDA Star);1;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);1;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);1;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);1;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;1;Random;Manhattan;Never;Yes;173;3187;75;
Dijkstra;1;Random;Euclidean;Never;Yes;172;3187;75;
Dijkstra;1;Random;Octile;Never;Yes;171;3187;75;
Dijkstra;1;Random;Chebyshev;Never;Yes;172;3187;75;
A* (A Star);2;Random;Manhattan;Never;Yes;4;379;70;
A* (A Star);2;Random;Euclidean;Never;Yes;19;870;70;
