Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;113;Genetic Algorithm;0;Random;Manhattan;Never;Yes;3149;1865;13;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;91;Genetic Algorithm;0;Random;Euclidean;Never;Yes;2315;1208;14;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;97;Genetic Algorithm;0;Random;Octile;Never;Yes;1807;1028;11;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;97;Genetic Algorithm;0;Random;Chebyshev;Never;Yes;2062;1126;7;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Random;Manhattan;Never;No;16282;2136;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Random;Euclidean;Never;No;11596;2234;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Random;Octile;Never;No;8435;1174;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Random;Chebyshev;Never;No;64376;2938;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Manhattan;Never;No;6878;1530;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Euclidean;Never;No;6572;1476;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;664;Genetic Algorithm;2;Random;Octile;Never;Yes;13897;2065;15;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Chebyshev;Never;No;17831;1265;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Manhattan;Never;No;10439;1437;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Euclidean;Never;No;7770;950;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Octile;Never;No;7675;1025;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Chebyshev;Never;No;8289;953;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Random;Manhattan;Never;No;13875;1347;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Random;Euclidean;Never;No;8674;1061;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;74;Genetic Algorithm;4;Random;Octile;Never;Yes;1133;775;7;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Random;Chebyshev;Never;No;6821;722;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;144;Genetic Algorithm;5;Random;Manhattan;Never;Yes;4965;2214;26;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Random;Euclidean;Never;No;6871;1403;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;82;Genetic Algorithm;5;Random;Octile;Never;Yes;3311;1959;20;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;124;Genetic Algorithm;5;Random;Chebyshev;Never;Yes;3054;1212;11;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Manhattan;Never;No;14250;1549;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Euclidean;Never;No;102880;4571;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Octile;Never;No;7081;1301;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;6;Random;Chebyshev;Never;No;8784;1728;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;7;Random;Manhattan;Never;No;9597;1100;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;7;Random;Euclidean;Never;No;7528;965;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;7;Random;Octile;Never;No;9813;1516;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;7;Random;Chebyshev;Never;No;8864;1961;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;8;Random;Manhattan;Never;No;2441;906;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;8;Random;Euclidean;Never;No;2998;899;-1;
