Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;Random;Manhattan;OnlyWhenNoObstacles;Yes;36;894;98,8700576850888;
A* (A Star);0;Random;Euclidean;OnlyWhenNoObstacles;Yes;95;1671;97,4558441227157;
A* (A Star);0;Random;Octile;OnlyWhenNoObstacles;Yes;62;1435;97,4558441227157;
A* (A Star);0;Random;Chebyshev;OnlyWhenNoObstacles;Yes;144;2085;97,4558441227157;
Best First Search;0;Random;Manhattan;OnlyWhenNoObstacles;Yes;1;248;109,112698372208;
Best First Search;0;Random;Euclidean;OnlyWhenNoObstacles;Yes;1;240;113,112698372208;
Best First Search;0;Random;Octile;OnlyWhenNoObstacles;Yes;1;243;110,284271247462;
Best First Search;0;Random;Chebyshev;OnlyWhenNoObstacles;Yes;2;274;114,041630560343;
IDA* (IDA Star);0;Random;Manhattan;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);0;Random;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);0;Random;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);0;Random;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;0;Random;Manhattan;OnlyWhenNoObstacles;Yes;788;5656;97,4558441227157;
Dijkstra;0;Random;Euclidean;OnlyWhenNoObstacles;Yes;783;5656;97,4558441227157;
Dijkstra;0;Random;Octile;OnlyWhenNoObstacles;Yes;784;5656;97,4558441227157;
Dijkstra;0;Random;Chebyshev;OnlyWhenNoObstacles;Yes;788;5656;97,4558441227157;
A* (A Star);1;Random;Manhattan;OnlyWhenNoObstacles;Yes;1;183;32,8284271247462;
A* (A Star);1;Random;Euclidean;OnlyWhenNoObstacles;Yes;3;252;32,2426406871193;
A* (A Star);1;Random;Octile;OnlyWhenNoObstacles;Yes;2;234;32,2426406871193;
A* (A Star);1;Random;Chebyshev;OnlyWhenNoObstacles;Yes;3;322;32,2426406871193;
Best First Search;1;Random;Manhattan;OnlyWhenNoObstacles;Yes;0;87;34,4852813742386;
Best First Search;1;Random;Euclidean;OnlyWhenNoObstacles;Yes;0;84;34,4852813742386;
