Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;436;Genetic Algorithm;0;Random;Manhattan;OnlyWhenNoObstacles;Yes;12145;1204;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;Random;Euclidean;OnlyWhenNoObstacles;No;75660;2886;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;390;Genetic Algorithm;0;Random;Octile;OnlyWhenNoObstacles;Yes;11270;1665;11;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;Random;Chebyshev;OnlyWhenNoObstacles;No;7688;733;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;264;Genetic Algorithm;1;Random;Manhattan;OnlyWhenNoObstacles;Yes;5044;1627;10,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;284;Genetic Algorithm;1;Random;Euclidean;OnlyWhenNoObstacles;Yes;6486;1419;7,41421356237309;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;754;Genetic Algorithm;1;Random;Octile;OnlyWhenNoObstacles;Yes;8240;1507;12,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Random;Chebyshev;OnlyWhenNoObstacles;No;10242;1343;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Manhattan;OnlyWhenNoObstacles;No;5214;1218;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Euclidean;OnlyWhenNoObstacles;No;76141;3223;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Octile;OnlyWhenNoObstacles;No;5155;1408;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Random;Chebyshev;OnlyWhenNoObstacles;No;3830;1134;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Manhattan;OnlyWhenNoObstacles;No;13443;1177;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;204;Genetic Algorithm;3;Random;Euclidean;OnlyWhenNoObstacles;Yes;5915;1091;6;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Octile;OnlyWhenNoObstacles;No;11879;1273;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Random;Chebyshev;OnlyWhenNoObstacles;No;16357;1151;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;111;Genetic Algorithm;4;Random;Manhattan;OnlyWhenNoObstacles;Yes;3017;961;9,82842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Random;Euclidean;OnlyWhenNoObstacles;No;22194;982;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;306;Genetic Algorithm;4;Random;Octile;OnlyWhenNoObstacles;Yes;6419;944;10,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Random;Chebyshev;OnlyWhenNoObstacles;No;8729;808;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;358;Genetic Algorithm;5;Random;Manhattan;OnlyWhenNoObstacles;Yes;19041;1872;14,4142135623731;
