Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;WithPattern;Manhattan;Always;Yes;1;164;53,0416305603426;
A* (A Star);0;WithPattern;Euclidean;Always;Yes;10;476;51,2842712474619;
A* (A Star);0;WithPattern;Octile;Always;Yes;3;252;51,2842712474619;
A* (A Star);0;WithPattern;Chebyshev;Always;Yes;28;750;51,2842712474619;
Best First Search;0;WithPattern;Manhattan;Always;Yes;0;134;57,1837661840736;
Best First Search;0;WithPattern;Euclidean;Always;Yes;0;130;54,5979797464467;
Best First Search;0;WithPattern;Octile;Always;Yes;0;130;54,5979797464467;
Best First Search;0;WithPattern;Chebyshev;Always;Yes;0;130;53,0416305603426;
IDA* (IDA Star);0;WithPattern;Manhattan;Always;Yes;0;0;53,4558441227157;
IDA* (IDA Star);0;WithPattern;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);0;WithPattern;Octile;Always;Yes;0;0;53,0416305603426;
IDA* (IDA Star);0;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;0;WithPattern;Manhattan;Always;Yes;532;4089;51,2842712474619;
Dijkstra;0;WithPattern;Euclidean;Always;Yes;543;4089;51,2842712474619;
Dijkstra;0;WithPattern;Octile;Always;Yes;531;4089;51,2842712474619;
Dijkstra;0;WithPattern;Chebyshev;Always;Yes;533;4089;51,2842712474619;
A* (A Star);1;WithPattern;Manhattan;Always;Yes;0;116;38,4558441227157;
A* (A Star);1;WithPattern;Euclidean;Always;Yes;3;222;36,698484809835;
A* (A Star);1;WithPattern;Octile;Always;Yes;1;166;36,698484809835;
A* (A Star);1;WithPattern;Chebyshev;Always;Yes;9;415;36,698484809835;
Best First Search;1;WithPattern;Manhattan;Always;Yes;0;107;40,9411254969543;
Best First Search;1;WithPattern;Euclidean;Always;Yes;0;103;38,3553390593274;
Best First Search;1;WithPattern;Octile;Always;Yes;0;103;38,3553390593274;
Best First Search;1;WithPattern;Chebyshev;Always;Yes;0;104;36,698484809835;
IDA* (IDA Star);1;WithPattern;Manhattan;Always;Yes;0;0;36,698484809835;
IDA* (IDA Star);1;WithPattern;Euclidean;Always;Yes;207;0;36,698484809835;
IDA* (IDA Star);1;WithPattern;Octile;Always;Yes;0;0;36,698484809835;
IDA* (IDA Star);1;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;1;WithPattern;Manhattan;Always;Yes;334;3072;36,698484809835;
Dijkstra;1;WithPattern;Euclidean;Always;Yes;333;3072;36,698484809835;
Dijkstra;1;WithPattern;Octile;Always;Yes;341;3072;36,698484809835;
Dijkstra;1;WithPattern;Chebyshev;Always;Yes;335;3072;36,698484809835;
A* (A Star);2;WithPattern;Manhattan;Always;Yes;3;258;97,8528137423856;
A* (A Star);2;WithPattern;Euclidean;Always;Yes;29;772;96,6812408671318;
A* (A Star);2;WithPattern;Octile;Always;Yes;4;349;96,6812408671318;
A* (A Star);2;WithPattern;Chebyshev;Always;Yes;154;2034;96,6812408671318;
Best First Search;2;WithPattern;Manhattan;Always;Yes;2;252;97,509667991878;
Best First Search;2;WithPattern;Euclidean;Always;Yes;2;252;97,509667991878;
Best First Search;2;WithPattern;Octile;Always;Yes;2;252;97,509667991878;
Best First Search;2;WithPattern;Chebyshev;Always;Yes;3;307;106,78174593052;
IDA* (IDA Star);2;WithPattern;Manhattan;Always;Yes;0;0;106,78174593052;
IDA* (IDA Star);2;WithPattern;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);2;WithPattern;Octile;Always;Yes;0;0;106,78174593052;
IDA* (IDA Star);2;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;2;WithPattern;Manhattan;Always;Yes;1212;5920;96,6812408671318;
Dijkstra;2;WithPattern;Euclidean;Always;Yes;1228;5920;96,6812408671318;
Dijkstra;2;WithPattern;Octile;Always;Yes;1225;5920;96,6812408671318;
Dijkstra;2;WithPattern;Chebyshev;Always;Yes;1224;5920;96,6812408671318;
A* (A Star);3;WithPattern;Manhattan;Always;Yes;1;203;47,3137084989848;
A* (A Star);3;WithPattern;Euclidean;Always;Yes;5;372;47,3137084989847;
A* (A Star);3;WithPattern;Octile;Always;Yes;3;285;47,3137084989848;
A* (A Star);3;WithPattern;Chebyshev;Always;Yes;11;469;47,3137084989847;
Best First Search;3;WithPattern;Manhattan;Always;Yes;0;130;55,3553390593274;
Best First Search;3;WithPattern;Euclidean;Always;Yes;0;130;55,3553390593274;
Best First Search;3;WithPattern;Octile;Always;Yes;0;130;55,3553390593274;
Best First Search;3;WithPattern;Chebyshev;Always;Yes;0;114;47,8994949366116;
IDA* (IDA Star);3;WithPattern;Manhattan;Always;Yes;0;0;47,8994949366116;
IDA* (IDA Star);3;WithPattern;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);3;WithPattern;Octile;Always;Yes;2;0;47,8994949366116;
IDA* (IDA Star);3;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;3;WithPattern;Manhattan;Always;Yes;241;2815;47,3137084989847;
Dijkstra;3;WithPattern;Euclidean;Always;Yes;253;2815;47,3137084989847;
Dijkstra;3;WithPattern;Octile;Always;Yes;242;2815;47,3137084989847;
Dijkstra;3;WithPattern;Chebyshev;Always;Yes;241;2815;47,3137084989847;
A* (A Star);4;WithPattern;Manhattan;Always;Yes;0;77;29,6274169979695;
A* (A Star);4;WithPattern;Euclidean;Always;Yes;2;145;28,4558441227157;
A* (A Star);4;WithPattern;Octile;Always;Yes;0;91;28,4558441227157;
A* (A Star);4;WithPattern;Chebyshev;Always;Yes;2;235;28,4558441227157;
Best First Search;4;WithPattern;Manhattan;Always;Yes;0;71;30,4558441227157;
Best First Search;4;WithPattern;Euclidean;Always;Yes;0;71;28,4558441227157;
Best First Search;4;WithPattern;Octile;Always;Yes;0;71;28,4558441227157;
Best First Search;4;WithPattern;Chebyshev;Always;Yes;0;78;31,3847763108502;
IDA* (IDA Star);4;WithPattern;Manhattan;Always;Yes;3;0;31,3847763108502;
IDA* (IDA Star);4;WithPattern;Euclidean;Always;Yes;54;0;31,3847763108502;
IDA* (IDA Star);4;WithPattern;Octile;Always;Yes;0;0;31,3847763108502;
IDA* (IDA Star);4;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;4;WithPattern;Manhattan;Always;Yes;74;1507;28,4558441227157;
Dijkstra;4;WithPattern;Euclidean;Always;Yes;72;1507;28,4558441227157;
Dijkstra;4;WithPattern;Octile;Always;Yes;74;1507;28,4558441227157;
Dijkstra;4;WithPattern;Chebyshev;Always;Yes;72;1507;28,4558441227157;
A* (A Star);5;WithPattern;Manhattan;Always;Yes;1;163;40,3847763108502;
A* (A Star);5;WithPattern;Euclidean;Always;Yes;8;390;40,3847763108502;
A* (A Star);5;WithPattern;Octile;Always;Yes;5;248;40,3847763108502;
A* (A Star);5;WithPattern;Chebyshev;Always;Yes;11;514;40,3847763108502;
Best First Search;5;WithPattern;Manhattan;Always;Yes;0;117;43,698484809835;
Best First Search;5;WithPattern;Euclidean;Always;Yes;0;117;43,698484809835;
Best First Search;5;WithPattern;Octile;Always;Yes;0;117;43,698484809835;
Best First Search;5;WithPattern;Chebyshev;Always;Yes;0;103;41,3137084989848;
IDA* (IDA Star);5;WithPattern;Manhattan;Always;Yes;0;0;41,3137084989848;
IDA* (IDA Star);5;WithPattern;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);5;WithPattern;Octile;Always;Yes;864;0;42,2842712474619;
IDA* (IDA Star);5;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;5;WithPattern;Manhattan;Always;Yes;161;2157;40,3847763108502;
Dijkstra;5;WithPattern;Euclidean;Always;Yes;159;2157;40,3847763108502;
Dijkstra;5;WithPattern;Octile;Always;Yes;159;2157;40,3847763108502;
Dijkstra;5;WithPattern;Chebyshev;Always;Yes;157;2157;40,3847763108502;
A* (A Star);6;WithPattern;Manhattan;Always;Yes;1;193;80,0121933088197;
A* (A Star);6;WithPattern;Euclidean;Always;Yes;33;915;76,4974746830583;
A* (A Star);6;WithPattern;Octile;Always;Yes;11;527;76,4974746830583;
A* (A Star);6;WithPattern;Chebyshev;Always;Yes;46;1186;76,4974746830583;
Best First Search;6;WithPattern;Manhattan;Always;Yes;1;193;80,0121933088197;
Best First Search;6;WithPattern;Euclidean;Always;Yes;1;188;79,811183182043;
