Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;50;Genetic Algorithm;0;WithPattern;Manhattan;Always;Yes;2151;1544;22,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;73;Genetic Algorithm;0;WithPattern;Euclidean;Always;Yes;3345;1384;3,82842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;178;Genetic Algorithm;0;WithPattern;Octile;Always;Yes;9443;1750;21,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;98;Genetic Algorithm;0;WithPattern;Chebyshev;Always;Yes;4307;1451;4,41421356237309;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;47;Genetic Algorithm;1;WithPattern;Manhattan;Always;Yes;3530;1839;27,9705627484771;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;42;Genetic Algorithm;1;WithPattern;Euclidean;Always;Yes;2637;1632;13,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;106;Genetic Algorithm;1;WithPattern;Octile;Always;Yes;7563;2244;22,6274169979695;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;128;Genetic Algorithm;1;WithPattern;Chebyshev;Always;Yes;8071;1895;24,2132034355964;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;289;Genetic Algorithm;2;WithPattern;Manhattan;Always;Yes;28480;4092;58,0832611206852;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;161;Genetic Algorithm;2;WithPattern;Euclidean;Always;Yes;8405;1954;23,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;218;Genetic Algorithm;2;WithPattern;Octile;Always;Yes;16402;2323;25,6274169979695;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;164;Genetic Algorithm;2;WithPattern;Chebyshev;Always;Yes;11658;2327;26,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;100;Genetic Algorithm;3;WithPattern;Manhattan;Always;Yes;3167;1340;10,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;144;Genetic Algorithm;3;WithPattern;Euclidean;Always;Yes;4446;1042;8,24264068711929;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;121;Genetic Algorithm;3;WithPattern;Octile;Always;Yes;3580;1173;13,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;128;Genetic Algorithm;3;WithPattern;Chebyshev;Always;Yes;5388;1818;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;56;Genetic Algorithm;4;WithPattern;Manhattan;Always;Yes;2078;1107;7,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;71;Genetic Algorithm;4;WithPattern;Euclidean;Always;Yes;3700;1598;19,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;43;Genetic Algorithm;4;WithPattern;Octile;Always;Yes;2189;1507;10,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;52;Genetic Algorithm;4;WithPattern;Chebyshev;Always;Yes;2184;1236;15,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;178;Genetic Algorithm;5;WithPattern;Manhattan;Always;Yes;13367;2327;30,2842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;84;Genetic Algorithm;5;WithPattern;Euclidean;Always;Yes;4276;1620;16,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;134;Genetic Algorithm;5;WithPattern;Octile;Always;Yes;8187;1691;21,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;85;Genetic Algorithm;5;WithPattern;Chebyshev;Always;Yes;4296;1714;15,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;187;Genetic Algorithm;6;WithPattern;Manhattan;Always;Yes;6951;1647;13,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;191;Genetic Algorithm;6;WithPattern;Euclidean;Always;Yes;8963;2211;16,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;220;Genetic Algorithm;6;WithPattern;Octile;Always;Yes;10640;2252;20,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;185;Genetic Algorithm;6;WithPattern;Chebyshev;Always;Yes;7423;1814;15,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;66;Genetic Algorithm;7;WithPattern;Manhattan;Always;Yes;1914;1100;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;68;Genetic Algorithm;7;WithPattern;Euclidean;Always;Yes;2527;1226;12,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;100;Genetic Algorithm;7;WithPattern;Octile;Always;Yes;3607;1517;13,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;167;Genetic Algorithm;7;WithPattern;Chebyshev;Always;Yes;5605;1103;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;182;Genetic Algorithm;8;WithPattern;Manhattan;Always;Yes;10441;1932;25,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;183;Genetic Algorithm;8;WithPattern;Euclidean;Always;Yes;8918;1641;13,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;201;Genetic Algorithm;8;WithPattern;Octile;Always;Yes;11147;2114;30,5563491861041;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;100;Genetic Algorithm;8;WithPattern;Chebyshev;Always;Yes;3682;1421;11,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;138;Genetic Algorithm;9;WithPattern;Manhattan;Always;Yes;9200;2642;27,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;146;Genetic Algorithm;9;WithPattern;Euclidean;Always;Yes;5872;1343;14,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;114;Genetic Algorithm;9;WithPattern;Octile;Always;Yes;5224;1257;22,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;131;Genetic Algorithm;9;WithPattern;Chebyshev;Always;Yes;7306;1748;21,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;168;Genetic Algorithm;10;WithPattern;Manhattan;Always;Yes;6315;1221;19,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;152;Genetic Algorithm;10;WithPattern;Euclidean;Always;Yes;6416;2213;16,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;143;Genetic Algorithm;10;WithPattern;Octile;Always;Yes;4833;1236;11,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;204;Genetic Algorithm;10;WithPattern;Chebyshev;Always;Yes;9068;1711;14,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;50;Genetic Algorithm;11;WithPattern;Manhattan;Always;Yes;1548;1216;14,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;120;Genetic Algorithm;11;WithPattern;Euclidean;Always;Yes;5302;1381;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;56;Genetic Algorithm;11;WithPattern;Octile;Always;Yes;2546;1476;28,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;92;Genetic Algorithm;11;WithPattern;Chebyshev;Always;Yes;4378;1306;12,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;129;Genetic Algorithm;12;WithPattern;Manhattan;Always;Yes;8963;2492;36,0416305603426;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;53;Genetic Algorithm;12;WithPattern;Euclidean;Always;Yes;2458;1572;12,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;93;Genetic Algorithm;12;WithPattern;Octile;Always;Yes;3462;1338;11,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;73;Genetic Algorithm;12;WithPattern;Chebyshev;Always;Yes;3099;1306;16,142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;13;WithPattern;Manhattan;Always;No;3377;1210;-1;
