Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;18;700;79,1421356237309;
A* (A Star);0;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;53;1240;79,1421356237309;
A* (A Star);0;WithPattern;Octile;IfAtMostOneObstacle;Yes;36;1028;79,1421356237309;
A* (A Star);0;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;78;1526;79,1421356237309;
Best First Search;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;2;246;99,8528137423856;
Best First Search;0;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;1;239;102,681240867132;
Best First Search;0;WithPattern;Octile;IfAtMostOneObstacle;Yes;1;236;102,681240867132;
Best First Search;0;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;1;193;79,1421356237309;
IDA* (IDA Star);0;WithPattern;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;WithPattern;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;WithPattern;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;WithPattern;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;668;4639;79,1421356237309;
Dijkstra;0;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;664;4639;79,1421356237309;
Dijkstra;0;WithPattern;Octile;IfAtMostOneObstacle;Yes;680;4639;79,1421356237309;
Dijkstra;0;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;659;4639;79,1421356237309;
A* (A Star);1;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1;170;25,5563491861041;
A* (A Star);1;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;1;172;23,5563491861041;
A* (A Star);1;WithPattern;Octile;IfAtMostOneObstacle;Yes;2;166;23,5563491861041;
A* (A Star);1;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;2;210;23,5563491861041;
Best First Search;1;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;0;72;28,0416305603426;
Best First Search;1;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;0;62;25,2132034355964;
Best First Search;1;WithPattern;Octile;IfAtMostOneObstacle;Yes;0;62;25,2132034355964;
Best First Search;1;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;0;64;23,5563491861041;
IDA* (IDA Star);1;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;505;0;23,5563491861041;
IDA* (IDA Star);1;WithPattern;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);1;WithPattern;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);1;WithPattern;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;1;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;19;771;23,5563491861041;
Dijkstra;1;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;19;771;23,5563491861041;
Dijkstra;1;WithPattern;Octile;IfAtMostOneObstacle;Yes;19;771;23,5563491861041;
Dijkstra;1;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;19;771;23,5563491861041;
A* (A Star);2;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1;170;25,5563491861041;
A* (A Star);2;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;2;172;23,5563491861041;
A* (A Star);2;WithPattern;Octile;IfAtMostOneObstacle;Yes;1;166;23,5563491861041;
A* (A Star);2;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;1;210;23,5563491861041;
Best First Search;2;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;0;72;28,0416305603426;
Best First Search;2;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;0;62;25,2132034355964;
Best First Search;2;WithPattern;Octile;IfAtMostOneObstacle;Yes;0;62;25,2132034355964;
Best First Search;2;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;0;64;23,5563491861041;
IDA* (IDA Star);2;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;503;0;23,5563491861041;
