Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;243;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;7765;1325;9,65685424949238;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;390;Genetic Algorithm;0;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;14748;1240;15,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Octile;IfAtMostOneObstacle;No;48062;1430;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;271;Genetic Algorithm;0;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;7447;1182;13,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;51;Genetic Algorithm;1;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1338;939;5,82842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;61;Genetic Algorithm;1;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;1733;802;10,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;81;Genetic Algorithm;1;WithPattern;Octile;IfAtMostOneObstacle;Yes;1890;948;7,24264068711928;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;129;Genetic Algorithm;1;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;4303;1304;8,07106781186548;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;50;Genetic Algorithm;2;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1512;959;9,48528137423857;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;16;Genetic Algorithm;2;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;730;1182;25,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;54;Genetic Algorithm;2;WithPattern;Octile;IfAtMostOneObstacle;Yes;1253;868;10,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;153;Genetic Algorithm;2;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;6976;1602;24,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;212;Genetic Algorithm;3;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;19531;3610;31,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;177;Genetic Algorithm;3;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;5452;1486;16,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;304;Genetic Algorithm;3;WithPattern;Octile;IfAtMostOneObstacle;Yes;24057;3649;44,556349186104;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;143;Genetic Algorithm;3;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;10585;3056;29,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;WithPattern;Manhattan;IfAtMostOneObstacle;No;13031;1388;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;WithPattern;Euclidean;IfAtMostOneObstacle;No;11733;1354;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;270;Genetic Algorithm;4;WithPattern;Octile;IfAtMostOneObstacle;Yes;9066;1351;11,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;248;Genetic Algorithm;4;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;6495;892;13,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;102;Genetic Algorithm;5;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;3729;1433;15,3137084989848;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;85;Genetic Algorithm;5;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;3216;1343;11,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;132;Genetic Algorithm;5;WithPattern;Octile;IfAtMostOneObstacle;Yes;5679;2307;15,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;82;Genetic Algorithm;5;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;4363;1695;15,8994949366117;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;102;Genetic Algorithm;6;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;3557;1191;16,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;161;Genetic Algorithm;6;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;9399;1997;28,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;113;Genetic Algorithm;6;WithPattern;Octile;IfAtMostOneObstacle;Yes;6096;1693;15,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;126;Genetic Algorithm;6;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;3845;965;10,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;112;Genetic Algorithm;7;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;4993;1775;12,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;76;Genetic Algorithm;7;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;2763;1330;10,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;106;Genetic Algorithm;7;WithPattern;Octile;IfAtMostOneObstacle;Yes;3801;1066;12,4852813742386;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;75;Genetic Algorithm;7;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;2655;1336;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;268;Genetic Algorithm;8;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;21632;3027;43,3553390593274;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;126;Genetic Algorithm;8;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;5212;1385;12,7279220613579;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;188;Genetic Algorithm;8;WithPattern;Octile;IfAtMostOneObstacle;Yes;5854;1160;9,24264068711929;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;224;Genetic Algorithm;8;WithPattern;Chebyshev;IfAtMostOneObstacle;Yes;7968;1372;10,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;83;Genetic Algorithm;9;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;4138;1579;24,7989898732233;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;111;Genetic Algorithm;9;WithPattern;Euclidean;IfAtMostOneObstacle;Yes;5342;1319;10,8994949366117;
