Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;WithPattern;Manhattan;Never;Yes;0;120;30;
A* (A Star);0;WithPattern;Euclidean;Never;Yes;0;169;30;
A* (A Star);0;WithPattern;Octile;Never;Yes;0;156;30;
A* (A Star);0;WithPattern;Chebyshev;Never;Yes;1;213;30;
Best First Search;0;WithPattern;Manhattan;Never;Yes;0;49;30;
Best First Search;0;WithPattern;Euclidean;Never;Yes;0;49;30;
Best First Search;0;WithPattern;Octile;Never;Yes;0;49;30;
Best First Search;0;WithPattern;Chebyshev;Never;Yes;0;52;30;
IDA* (IDA Star);0;WithPattern;Manhattan;Never;Yes;45;0;30;
IDA* (IDA Star);0;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);0;WithPattern;Octile;Never;Yes;313;0;30;
IDA* (IDA Star);0;WithPattern;Chebyshev;Never;Yes;222;0;30;
Dijkstra;0;WithPattern;Manhattan;Never;Yes;10;747;30;
Dijkstra;0;WithPattern;Euclidean;Never;Yes;10;747;30;
Dijkstra;0;WithPattern;Octile;Never;Yes;10;747;30;
Dijkstra;0;WithPattern;Chebyshev;Never;Yes;10;747;30;
A* (A Star);1;WithPattern;Manhattan;Never;Yes;0;50;17;
A* (A Star);1;WithPattern;Euclidean;Never;Yes;0;71;17;
A* (A Star);1;WithPattern;Octile;Never;Yes;0;68;17;
A* (A Star);1;WithPattern;Chebyshev;Never;Yes;0;88;17;
Best First Search;1;WithPattern;Manhattan;Never;Yes;0;45;23;
Best First Search;1;WithPattern;Euclidean;Never;Yes;0;43;23;
Best First Search;1;WithPattern;Octile;Never;Yes;0;43;23;
Best First Search;1;WithPattern;Chebyshev;Never;Yes;0;47;23;
IDA* (IDA Star);1;WithPattern;Manhattan;Never;Yes;0;0;23;
IDA* (IDA Star);1;WithPattern;Euclidean;Never;Yes;4;0;23;
IDA* (IDA Star);1;WithPattern;Octile;Never;Yes;0;0;23;
IDA* (IDA Star);1;WithPattern;Chebyshev;Never;Yes;1;0;23;
Dijkstra;1;WithPattern;Manhattan;Never;Yes;2;231;17;
Dijkstra;1;WithPattern;Euclidean;Never;Yes;1;231;17;
Dijkstra;1;WithPattern;Octile;Never;Yes;1;231;17;
