Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;114;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;4189;2783;30;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;141;Genetic Algorithm;0;WithPattern;Euclidean;Never;Yes;5314;1726;19;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;151;Genetic Algorithm;0;WithPattern;Octile;Never;Yes;3345;1240;10;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;65;Genetic Algorithm;0;WithPattern;Chebyshev;Never;Yes;1514;1746;20;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;14;Genetic Algorithm;1;WithPattern;Manhattan;Never;Yes;221;647;7;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;23;Genetic Algorithm;1;WithPattern;Euclidean;Never;Yes;567;1105;10;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;17;Genetic Algorithm;1;WithPattern;Octile;Never;Yes;388;956;9;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;105;Genetic Algorithm;1;WithPattern;Chebyshev;Never;Yes;1745;1331;9;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;95;Genetic Algorithm;2;WithPattern;Manhattan;Never;Yes;2781;1288;14;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;105;Genetic Algorithm;2;WithPattern;Euclidean;Never;Yes;3941;2046;21;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;108;Genetic Algorithm;2;WithPattern;Octile;Never;Yes;3956;2450;20;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;134;Genetic Algorithm;2;WithPattern;Chebyshev;Never;Yes;4535;2045;19;
