Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;81;31,5563491861041;
A* (A Star);0;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;2;202;31,5563491861041;
A* (A Star);0;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1;184;31,5563491861041;
A* (A Star);0;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;4;278;31,5563491861041;
Best First Search;0;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;77;33,2132034355964;
Best First Search;0;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;0;77;33,2132034355964;
Best First Search;0;WithPattern;Octile;OnlyWhenNoObstacles;Yes;0;77;33,2132034355964;
Best First Search;0;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;0;81;33,7989898732233;
IDA* (IDA Star);0;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;3;0;33,7989898732233;
IDA* (IDA Star);0;WithPattern;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);0;WithPattern;Octile;OnlyWhenNoObstacles;Yes;15;0;33,7989898732233;
IDA* (IDA Star);0;WithPattern;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;0;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;20;809;31,5563491861041;
Dijkstra;0;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;20;809;31,5563491861041;
Dijkstra;0;WithPattern;Octile;OnlyWhenNoObstacles;Yes;21;809;31,5563491861041;
Dijkstra;0;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;20;809;31,5563491861041;
A* (A Star);1;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;81;31,5563491861041;
A* (A Star);1;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;1;202;31,5563491861041;
A* (A Star);1;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1;184;31,5563491861041;
A* (A Star);1;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;3;278;31,5563491861041;
Best First Search;1;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;77;33,2132034355964;
Best First Search;1;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;0;77;33,2132034355964;
Best First Search;1;WithPattern;Octile;OnlyWhenNoObstacles;Yes;0;77;33,2132034355964;
Best First Search;1;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;0;81;33,7989898732233;
