Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;90;Genetic Algorithm;0;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;2831;927;11,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;85;Genetic Algorithm;0;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;3335;1214;11,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;81;Genetic Algorithm;0;WithPattern;Octile;OnlyWhenNoObstacles;Yes;2931;967;12,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;158;Genetic Algorithm;0;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;9858;1876;21,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;99;Genetic Algorithm;1;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;4080;1185;10,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;48;Genetic Algorithm;1;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;2649;1647;16,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;59;Genetic Algorithm;1;WithPattern;Octile;OnlyWhenNoObstacles;Yes;2462;1144;17,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;76;Genetic Algorithm;1;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;2700;956;8,4142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;189;Genetic Algorithm;2;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;4168;837;13;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;254;Genetic Algorithm;2;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;5591;784;8;
