Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;IfAtMostOneObstacle;Yes;22;461;73,5979797464466;
A* (A Star);0;File;Euclidean;IfAtMostOneObstacle;Yes;21;813;73,5979797464466;
A* (A Star);0;File;Octile;IfAtMostOneObstacle;Yes;16;813;73,5979797464466;
A* (A Star);0;File;Chebyshev;IfAtMostOneObstacle;Yes;59;1303;73,5979797464466;
Best First Search;0;File;Manhattan;IfAtMostOneObstacle;Yes;2;1303;86,4680374315354;
Best First Search;0;File;Euclidean;IfAtMostOneObstacle;Yes;1;1303;89,0538238691623;
Best First Search;0;File;Octile;IfAtMostOneObstacle;Yes;1;1303;89,0538238691623;
Best First Search;0;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1303;84,1837661840735;
Dijkstra;0;File;Manhattan;IfAtMostOneObstacle;Yes;844;5416;73,5979797464466;
Dijkstra;0;File;Euclidean;IfAtMostOneObstacle;Yes;839;5416;73,5979797464466;
Dijkstra;0;File;Octile;IfAtMostOneObstacle;Yes;817;5416;73,5979797464466;
Dijkstra;0;File;Chebyshev;IfAtMostOneObstacle;Yes;813;5416;73,5979797464466;
A* (A Star);1;File;Manhattan;IfAtMostOneObstacle;Yes;5;335;81,7695526217004;
A* (A Star);1;File;Euclidean;IfAtMostOneObstacle;Yes;20;859;78,0121933088197;
A* (A Star);1;File;Octile;IfAtMostOneObstacle;Yes;16;859;78,0121933088197;
A* (A Star);1;File;Chebyshev;IfAtMostOneObstacle;Yes;34;1098;78,0121933088197;
Best First Search;1;File;Manhattan;IfAtMostOneObstacle;Yes;1;1098;93,1248916810278;
Best First Search;1;File;Euclidean;IfAtMostOneObstacle;Yes;2;1098;90,2964645562816;
Best First Search;1;File;Octile;IfAtMostOneObstacle;Yes;2;1098;90,2964645562816;
Best First Search;1;File;Chebyshev;IfAtMostOneObstacle;Yes;3;1098;82,254833995939;
Dijkstra;1;File;Manhattan;IfAtMostOneObstacle;Yes;174;2606;78,0121933088197;
Dijkstra;1;File;Euclidean;IfAtMostOneObstacle;Yes;179;2606;78,0121933088197;
Dijkstra;1;File;Octile;IfAtMostOneObstacle;Yes;174;2606;78,0121933088197;
Dijkstra;1;File;Chebyshev;IfAtMostOneObstacle;Yes;175;2606;78,0121933088197;
A* (A Star);2;File;Manhattan;IfAtMostOneObstacle;Yes;18;593;124,296464556282;
A* (A Star);2;File;Euclidean;IfAtMostOneObstacle;Yes;155;2253;117,953318805774;
A* (A Star);2;File;Octile;IfAtMostOneObstacle;Yes;124;2253;117,953318805774;
A* (A Star);2;File;Chebyshev;IfAtMostOneObstacle;Yes;201;2576;117,953318805774;
Best First Search;2;File;Manhattan;IfAtMostOneObstacle;Yes;3;2576;134,237590053236;
Best First Search;2;File;Euclidean;IfAtMostOneObstacle;Yes;4;2576;135,651803615609;
Best First Search;2;File;Octile;IfAtMostOneObstacle;Yes;4;2576;135,651803615609;
Best First Search;2;File;Chebyshev;IfAtMostOneObstacle;Yes;5;2576;127,811183182043;
Dijkstra;2;File;Manhattan;IfAtMostOneObstacle;Yes;990;6027;117,953318805774;
Dijkstra;2;File;Euclidean;IfAtMostOneObstacle;Yes;988;6027;117,953318805774;
Dijkstra;2;File;Octile;IfAtMostOneObstacle;Yes;991;6027;117,953318805774;
Dijkstra;2;File;Chebyshev;IfAtMostOneObstacle;Yes;989;6027;117,953318805774;
A* (A Star);3;File;Manhattan;IfAtMostOneObstacle;Yes;4;315;86,0832611206852;
A* (A Star);3;File;Euclidean;IfAtMostOneObstacle;Yes;50;1267;81,9827560572968;
A* (A Star);3;File;Octile;IfAtMostOneObstacle;Yes;32;1267;81,9827560572968;
A* (A Star);3;File;Chebyshev;IfAtMostOneObstacle;Yes;88;1752;81,9827560572968;
Best First Search;3;File;Manhattan;IfAtMostOneObstacle;Yes;2;1752;107,438600180013;
Best First Search;3;File;Euclidean;IfAtMostOneObstacle;Yes;1;1752;94,367532368147;
Best First Search;3;File;Octile;IfAtMostOneObstacle;Yes;1;1752;94,367532368147;
Best First Search;3;File;Chebyshev;IfAtMostOneObstacle;Yes;2;1752;92,0832611206852;
Dijkstra;3;File;Manhattan;IfAtMostOneObstacle;Yes;1308;6692;81,9827560572968;
Dijkstra;3;File;Euclidean;IfAtMostOneObstacle;Yes;1308;6692;81,9827560572968;
Dijkstra;3;File;Octile;IfAtMostOneObstacle;Yes;1256;6692;81,9827560572968;
Dijkstra;3;File;Chebyshev;IfAtMostOneObstacle;Yes;1268;6692;81,9827560572968;
A* (A Star);4;File;Manhattan;IfAtMostOneObstacle;Yes;1;193;58,1837661840735;
A* (A Star);4;File;Euclidean;IfAtMostOneObstacle;Yes;9;473;54,1837661840735;
A* (A Star);4;File;Octile;IfAtMostOneObstacle;Yes;2;473;54,1837661840735;
A* (A Star);4;File;Chebyshev;IfAtMostOneObstacle;Yes;17;724;54,1837661840735;
Best First Search;4;File;Manhattan;IfAtMostOneObstacle;Yes;1;724;63,5979797464466;
Best First Search;4;File;Euclidean;IfAtMostOneObstacle;Yes;0;724;60,6690475583121;
Best First Search;4;File;Octile;IfAtMostOneObstacle;Yes;0;724;57,4974746830583;
Best First Search;4;File;Chebyshev;IfAtMostOneObstacle;Yes;0;724;60,1837661840735;
Dijkstra;4;File;Manhattan;IfAtMostOneObstacle;Yes;504;4226;54,1837661840735;
Dijkstra;4;File;Euclidean;IfAtMostOneObstacle;Yes;491;4226;54,1837661840735;
Dijkstra;4;File;Octile;IfAtMostOneObstacle;Yes;493;4226;54,1837661840735;
Dijkstra;4;File;Chebyshev;IfAtMostOneObstacle;Yes;493;4226;54,1837661840735;
A* (A Star);5;File;Manhattan;IfAtMostOneObstacle;Yes;15;547;100,811183182043;
A* (A Star);5;File;Euclidean;IfAtMostOneObstacle;Yes;130;2066;100,225396744416;
A* (A Star);5;File;Octile;IfAtMostOneObstacle;Yes;97;2066;100,225396744416;
A* (A Star);5;File;Chebyshev;IfAtMostOneObstacle;Yes;167;2375;100,225396744416;
Best First Search;5;File;Manhattan;IfAtMostOneObstacle;Yes;3;2375;131,580735803743;
Best First Search;5;File;Euclidean;IfAtMostOneObstacle;Yes;3;2375;134,994949366117;
Best First Search;5;File;Octile;IfAtMostOneObstacle;Yes;3;2375;134,994949366117;
Best First Search;5;File;Chebyshev;IfAtMostOneObstacle;Yes;3;2375;117,740115370178;
Dijkstra;5;File;Manhattan;IfAtMostOneObstacle;Yes;752;5320;100,225396744416;
Dijkstra;5;File;Euclidean;IfAtMostOneObstacle;Yes;752;5320;100,225396744416;
Dijkstra;5;File;Octile;IfAtMostOneObstacle;Yes;750;5320;100,225396744416;
Dijkstra;5;File;Chebyshev;IfAtMostOneObstacle;Yes;750;5320;100,225396744416;
A* (A Star);6;File;Manhattan;IfAtMostOneObstacle;Yes;4;302;91,4974746830583;
A* (A Star);6;File;Euclidean;IfAtMostOneObstacle;Yes;65;1439;90,0832611206852;
A* (A Star);6;File;Octile;IfAtMostOneObstacle;Yes;49;1439;90,0832611206852;
A* (A Star);6;File;Chebyshev;IfAtMostOneObstacle;Yes;121;1975;90,0832611206852;
Best First Search;6;File;Manhattan;IfAtMostOneObstacle;Yes;3;1975;106,852813742386;
Best First Search;6;File;Euclidean;IfAtMostOneObstacle;Yes;2;1975;109,438600180013;
Best First Search;6;File;Octile;IfAtMostOneObstacle;Yes;3;1975;122,16652224137;
Best First Search;6;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1975;91,8406204335659;
Dijkstra;6;File;Manhattan;IfAtMostOneObstacle;Yes;732;5218;90,0832611206852;
Dijkstra;6;File;Euclidean;IfAtMostOneObstacle;Yes;719;5218;90,0832611206852;
Dijkstra;6;File;Octile;IfAtMostOneObstacle;Yes;718;5218;90,0832611206852;
Dijkstra;6;File;Chebyshev;IfAtMostOneObstacle;Yes;718;5218;90,0832611206852;
A* (A Star);7;File;Manhattan;IfAtMostOneObstacle;Yes;4;372;51,7989898732233;
A* (A Star);7;File;Euclidean;IfAtMostOneObstacle;Yes;7;436;51,7989898732233;
A* (A Star);7;File;Octile;IfAtMostOneObstacle;Yes;3;436;51,7989898732233;
