Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;36;Genetic Algorithm;0;File;Manhattan;Never;Yes;1234;378;26;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;34;Genetic Algorithm;0;File;Manhattan;Never;Yes;991;378;26;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;30;Genetic Algorithm;0;File;Manhattan;Never;Yes;941;378;26;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;30;Genetic Algorithm;0;File;Manhattan;Never;Yes;973;378;28;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;28693;378;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;22344;378;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;34452;378;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;77;Genetic Algorithm;0;File;Manhattan;Never;Yes;2932;378;38;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;38;Genetic Algorithm;0;File;Manhattan;Never;Yes;1097;378;26;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;478;Genetic Algorithm;0;File;Manhattan;Never;Yes;31400;378;36;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;74;Genetic Algorithm;0;File;Manhattan;Never;Yes;2509;378;32;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;60;Genetic Algorithm;0;File;Manhattan;Never;Yes;1723;378;34;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;13344;378;-1;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;48;Genetic Algorithm;0;File;Manhattan;Never;Yes;1444;378;26;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;50;Genetic Algorithm;0;File;Manhattan;Never;Yes;1932;378;28;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;36;Genetic Algorithm;0;File;Manhattan;Never;Yes;953;378;22;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;33690;378;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;31410;378;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;125;Genetic Algorithm;0;File;Manhattan;Never;Yes;6351;378;36;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;39614;378;-1;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;15735;378;-1;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;16336;378;-1;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;54;Genetic Algorithm;0;File;Manhattan;Never;Yes;1516;378;32;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;52;Genetic Algorithm;0;File;Manhattan;Never;Yes;2109;378;38;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;15223;378;-1;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;100;Genetic Algorithm;0;File;Manhattan;Never;Yes;4261;378;26;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;15031;378;-1;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;96;Genetic Algorithm;0;File;Manhattan;Never;Yes;3732;378;24;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;18494;378;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;18156;378;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;18420;378;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;18985;378;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;15738;378;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;18452;378;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;16150;378;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;16615;378;-1;
FitnessHeuristic;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;14889;378;-1;
FitnessHeuristic;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;15152;378;-1;
FitnessHeuristic;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;14961;378;-1;
FitnessHeuristic;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;14913;378;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;18133;378;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;21073;378;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;Never;No;20025;378;-1;
