Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;108;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;9755;6400;66;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;78;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;5532;4685;48;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;73;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;5375;5201;56;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;76;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;8279;6327;64;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;52357;2549;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;43235;5508;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;56922;2334;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;62168;2748;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;35986;1938;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;113416;5442;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;78288;4531;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;77856;3930;-1;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;63;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;4569;4972;50;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;77;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;5979;5322;54;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;68;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;6123;5652;58;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;100;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;9365;5737;64;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;77022;3930;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;35493;1991;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;32266;1395;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;68514;3222;-1;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;345;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;21919;4420;58;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;52391;2258;-1;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;57292;3430;-1;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;22142;1898;-1;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;155;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;9781;3907;40;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;184;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;10720;3912;40;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;184;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;11460;3909;42;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;171;Genetic Algorithm;0;WithPattern;Manhattan;Never;Yes;9210;3871;42;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;24975;1109;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;23278;1125;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;24191;1194;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;25434;1156;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;20771;1000;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;Never;No;21325;1037;-1;
