Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;2;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;61;57;11,4852813742386;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;3;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;69;57;13,4852813742386;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;57;0;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;31;57;14,3137084989848;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;3;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;77;57;10,6568542494924;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;32;57;8,07106781186548;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;2;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;61;57;10,6568542494924;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;57;0;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;57;0;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;57;0;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;35;57;10,0710678118655;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;36;57;8,07106781186548;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;42;57;12,8994949366117;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;2;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;54;57;15,4852813742386;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;37;57;14,8994949366117;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;34;57;14,8994949366117;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;57;0;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;7;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;179;60;12,0710678118655;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;34;60;10,0710678118655;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;39;60;13,4852813742386;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;60;0;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;9;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;181;60;12,6568542494924;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;2;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;55;60;18,0710678118655;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;60;0;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;43;74;19,142135623731;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;37;74;10,6568542494924;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;40;74;10,0710678118655;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;40;74;12,0710678118655;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;0;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;74;0;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;40;74;12,0710678118655;
