Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;IfAtMostOneObstacle;Yes;16;44;12,6568542494924;
A* (A Star);0;File;Euclidean;IfAtMostOneObstacle;Yes;0;44;12,6568542494924;
A* (A Star);0;File;Octile;IfAtMostOneObstacle;Yes;0;44;12,6568542494924;
A* (A Star);0;File;Chebyshev;IfAtMostOneObstacle;Yes;1;53;12,6568542494924;
Best First Search;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;53;14,3137084989848;
Best First Search;0;File;Euclidean;IfAtMostOneObstacle;Yes;0;53;14,8994949366117;
Best First Search;0;File;Octile;IfAtMostOneObstacle;Yes;0;53;14,8994949366117;
Best First Search;0;File;Chebyshev;IfAtMostOneObstacle;Yes;0;53;12,6568542494924;
Dijkstra;0;File;Manhattan;IfAtMostOneObstacle;Yes;1;132;12,6568542494924;
Dijkstra;0;File;Euclidean;IfAtMostOneObstacle;Yes;0;132;12,6568542494924;
Dijkstra;0;File;Octile;IfAtMostOneObstacle;Yes;0;132;12,6568542494924;
Dijkstra;0;File;Chebyshev;IfAtMostOneObstacle;Yes;0;132;12,6568542494924;
A* (A Star);1;File;Manhattan;IfAtMostOneObstacle;Yes;0;34;14,2426406871193;
A* (A Star);1;File;Euclidean;IfAtMostOneObstacle;Yes;0;62;14,2426406871193;
A* (A Star);1;File;Octile;IfAtMostOneObstacle;Yes;0;62;14,2426406871193;
A* (A Star);1;File;Chebyshev;IfAtMostOneObstacle;Yes;0;75;14,2426406871193;
Best First Search;1;File;Manhattan;IfAtMostOneObstacle;Yes;0;75;15,8994949366117;
Best First Search;1;File;Euclidean;IfAtMostOneObstacle;Yes;0;75;15,8994949366117;
Best First Search;1;File;Octile;IfAtMostOneObstacle;Yes;0;75;15,8994949366117;
Best First Search;1;File;Chebyshev;IfAtMostOneObstacle;Yes;0;75;14,2426406871193;
Dijkstra;1;File;Manhattan;IfAtMostOneObstacle;Yes;1;173;14,2426406871193;
Dijkstra;1;File;Euclidean;IfAtMostOneObstacle;Yes;1;173;14,2426406871193;
Dijkstra;1;File;Octile;IfAtMostOneObstacle;Yes;2;173;14,2426406871193;
Dijkstra;1;File;Chebyshev;IfAtMostOneObstacle;Yes;1;173;14,2426406871193;
A* (A Star);2;File;Manhattan;IfAtMostOneObstacle;Yes;0;25;12,4142135623731;
A* (A Star);2;File;Euclidean;IfAtMostOneObstacle;Yes;0;29;12,4142135623731;
A* (A Star);2;File;Octile;IfAtMostOneObstacle;Yes;0;29;12,4142135623731;
A* (A Star);2;File;Chebyshev;IfAtMostOneObstacle;Yes;0;53;12,4142135623731;
Best First Search;2;File;Manhattan;IfAtMostOneObstacle;Yes;0;53;12,4142135623731;
Best First Search;2;File;Euclidean;IfAtMostOneObstacle;Yes;0;53;15,7279220613579;
Best First Search;2;File;Octile;IfAtMostOneObstacle;Yes;0;53;15,7279220613579;
Best First Search;2;File;Chebyshev;IfAtMostOneObstacle;Yes;0;53;14,6568542494924;
Dijkstra;2;File;Manhattan;IfAtMostOneObstacle;Yes;1;180;12,4142135623731;
Dijkstra;2;File;Euclidean;IfAtMostOneObstacle;Yes;1;180;12,4142135623731;
Dijkstra;2;File;Octile;IfAtMostOneObstacle;Yes;1;180;12,4142135623731;
Dijkstra;2;File;Chebyshev;IfAtMostOneObstacle;Yes;2;180;12,4142135623731;
A* (A Star);3;File;Manhattan;IfAtMostOneObstacle;Yes;0;25;12,4142135623731;
A* (A Star);3;File;Euclidean;IfAtMostOneObstacle;Yes;0;29;12,4142135623731;
A* (A Star);3;File;Octile;IfAtMostOneObstacle;Yes;0;29;12,4142135623731;
A* (A Star);3;File;Chebyshev;IfAtMostOneObstacle;Yes;0;53;12,4142135623731;
Best First Search;3;File;Manhattan;IfAtMostOneObstacle;Yes;0;53;12,4142135623731;
