Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;11;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;853;2118;27,142135623731;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;13;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1091;2645;32,7989898732233;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;5;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;287;1572;29,3847763108502;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;5;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;268;1679;26,3137084989848;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;29;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1538;1458;29,9705627484771;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;19;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1056;1974;30,7989898732233;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;31;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1694;1985;24,5563491861041;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;21;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1161;2080;23,7279220613579;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;26;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1191;1932;20,0710678118655;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;34;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1693;1910;27,7279220613579;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;62;823;21,4852813742386;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;25;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1292;1840;20,3137084989848;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;71;951;31,3847763108502;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;6;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;313;2014;25,9705627484771;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;15;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;766;1658;23,7279220613579;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;9;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;483;1888;27,9705627484771;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;11;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;548;1692;36,7989898732233;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;18;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1060;2120;38,2132034355964;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;28;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;1609;2262;29,142135623731;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;13;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;727;2042;27,9705627484771;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;11;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;552;1547;26,5563491861041;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;63;898;33,6274169979695;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;0;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;0;0;0;
FitnessWithCirclicValidation;MutateDM;CrossoverOBX;SelectionRouletteWheel;1;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;62;892;20,5563491861041;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;3;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;160;990;25,142135623731;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;2;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;101;855;23,142135623731;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;23;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;855;937;14,8994949366117;
FitnessHeuristic;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;76;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;2213;948;17,142135623731;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;76;914;25,142135623731;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;27320;925;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;71;937;34,2132034355964;
