Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;Never;Yes;15;76;23;
A* (A Star);0;File;Euclidean;Never;Yes;0;85;23;
A* (A Star);0;File;Octile;Never;Yes;0;85;23;
A* (A Star);0;File;Chebyshev;Never;Yes;0;95;23;
Best First Search;0;File;Manhattan;Never;Yes;0;95;23;
Best First Search;0;File;Euclidean;Never;Yes;0;95;23;
Best First Search;0;File;Octile;Never;Yes;0;95;23;
Best First Search;0;File;Chebyshev;Never;Yes;0;95;23;
Dijkstra;0;File;Manhattan;Never;Yes;0;156;23;
Dijkstra;0;File;Euclidean;Never;Yes;0;156;23;
Dijkstra;0;File;Octile;Never;Yes;0;156;23;
Dijkstra;0;File;Chebyshev;Never;Yes;0;156;23;
A* (A Star);1;File;Manhattan;Never;Yes;0;20;7;
A* (A Star);1;File;Euclidean;Never;Yes;0;20;7;
A* (A Star);1;File;Octile;Never;Yes;0;20;7;
A* (A Star);1;File;Chebyshev;Never;Yes;0;22;7;
Best First Search;1;File;Manhattan;Never;Yes;0;22;7;
Best First Search;1;File;Euclidean;Never;Yes;0;22;7;
Best First Search;1;File;Octile;Never;Yes;0;22;7;
Best First Search;1;File;Chebyshev;Never;Yes;0;22;7;
Dijkstra;1;File;Manhattan;Never;Yes;0;81;7;
Dijkstra;1;File;Euclidean;Never;Yes;0;81;7;
Dijkstra;1;File;Octile;Never;Yes;0;81;7;
Dijkstra;1;File;Chebyshev;Never;Yes;0;81;7;
A* (A Star);2;File;Manhattan;Never;Yes;0;29;9;
A* (A Star);2;File;Euclidean;Never;Yes;0;29;9;
A* (A Star);2;File;Octile;Never;Yes;0;29;9;
A* (A Star);2;File;Chebyshev;Never;Yes;0;29;9;
Best First Search;2;File;Manhattan;Never;Yes;0;29;9;
Best First Search;2;File;Euclidean;Never;Yes;0;29;9;
Best First Search;2;File;Octile;Never;Yes;0;29;9;
Best First Search;2;File;Chebyshev;Never;Yes;0;29;9;
Dijkstra;2;File;Manhattan;Never;Yes;0;34;9;
Dijkstra;2;File;Euclidean;Never;Yes;0;34;9;
Dijkstra;2;File;Octile;Never;Yes;0;34;9;
Dijkstra;2;File;Chebyshev;Never;Yes;0;34;9;
A* (A Star);3;File;Manhattan;Never;Yes;0;73;18;
A* (A Star);3;File;Euclidean;Never;Yes;0;86;18;
A* (A Star);3;File;Octile;Never;Yes;0;86;18;
A* (A Star);3;File;Chebyshev;Never;Yes;0;101;18;
Best First Search;3;File;Manhattan;Never;Yes;0;101;20;
Best First Search;3;File;Euclidean;Never;Yes;0;101;18;
Best First Search;3;File;Octile;Never;Yes;0;101;18;
Best First Search;3;File;Chebyshev;Never;Yes;0;101;18;
Dijkstra;3;File;Manhattan;Never;Yes;1;219;18;
Dijkstra;3;File;Euclidean;Never;Yes;1;219;18;
Dijkstra;3;File;Octile;Never;Yes;2;219;18;
Dijkstra;3;File;Chebyshev;Never;Yes;2;219;18;
A* (A Star);4;File;Manhattan;Never;Yes;0;126;28;
A* (A Star);4;File;Euclidean;Never;Yes;1;154;28;
