Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;IfAtMostOneObstacle;Yes;15;21;7,24264068711929;
A* (A Star);0;File;Euclidean;IfAtMostOneObstacle;Yes;0;23;7,24264068711928;
A* (A Star);0;File;Octile;IfAtMostOneObstacle;Yes;0;23;7,24264068711928;
A* (A Star);0;File;Chebyshev;IfAtMostOneObstacle;Yes;0;23;7,24264068711928;
Best First Search;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;23;7,24264068711929;
Best First Search;0;File;Euclidean;IfAtMostOneObstacle;Yes;0;23;7,24264068711929;
Best First Search;0;File;Octile;IfAtMostOneObstacle;Yes;0;23;7,24264068711929;
Best First Search;0;File;Chebyshev;IfAtMostOneObstacle;Yes;0;23;7,24264068711928;
Dijkstra;0;File;Manhattan;IfAtMostOneObstacle;Yes;0;41;7,24264068711928;
Dijkstra;0;File;Euclidean;IfAtMostOneObstacle;Yes;0;41;7,24264068711928;
Dijkstra;0;File;Octile;IfAtMostOneObstacle;Yes;0;41;7,24264068711928;
Dijkstra;0;File;Chebyshev;IfAtMostOneObstacle;Yes;0;41;7,24264068711928;
A* (A Star);1;File;Manhattan;IfAtMostOneObstacle;Yes;0;94;24,7279220613579;
A* (A Star);1;File;Euclidean;IfAtMostOneObstacle;Yes;0;94;24,7279220613579;
A* (A Star);1;File;Octile;IfAtMostOneObstacle;Yes;1;94;24,7279220613579;
A* (A Star);1;File;Chebyshev;IfAtMostOneObstacle;Yes;0;100;24,7279220613579;
Best First Search;1;File;Manhattan;IfAtMostOneObstacle;Yes;0;100;28,0416305603426;
Best First Search;1;File;Euclidean;IfAtMostOneObstacle;Yes;0;100;28,6274169979695;
Best First Search;1;File;Octile;IfAtMostOneObstacle;Yes;0;100;28,6274169979695;
Best First Search;1;File;Chebyshev;IfAtMostOneObstacle;Yes;0;100;24,7279220613579;
Dijkstra;1;File;Manhattan;IfAtMostOneObstacle;Yes;4;214;24,7279220613579;
Dijkstra;1;File;Euclidean;IfAtMostOneObstacle;Yes;4;214;24,7279220613579;
Dijkstra;1;File;Octile;IfAtMostOneObstacle;Yes;2;214;24,7279220613579;
Dijkstra;1;File;Chebyshev;IfAtMostOneObstacle;Yes;2;214;24,7279220613579;
A* (A Star);2;File;Manhattan;IfAtMostOneObstacle;Yes;0;44;16,7279220613579;
A* (A Star);2;File;Euclidean;IfAtMostOneObstacle;Yes;0;62;16,7279220613579;
A* (A Star);2;File;Octile;IfAtMostOneObstacle;Yes;0;62;16,7279220613579;
A* (A Star);2;File;Chebyshev;IfAtMostOneObstacle;Yes;0;79;16,7279220613579;
Best First Search;2;File;Manhattan;IfAtMostOneObstacle;Yes;0;79;18,7279220613579;
Best First Search;2;File;Euclidean;IfAtMostOneObstacle;Yes;0;79;18,7279220613579;
Best First Search;2;File;Octile;IfAtMostOneObstacle;Yes;0;79;18,7279220613579;
Best First Search;2;File;Chebyshev;IfAtMostOneObstacle;Yes;0;79;18,7279220613579;
Dijkstra;2;File;Manhattan;IfAtMostOneObstacle;Yes;2;188;16,7279220613579;
Dijkstra;2;File;Euclidean;IfAtMostOneObstacle;Yes;3;188;16,7279220613579;
Dijkstra;2;File;Octile;IfAtMostOneObstacle;Yes;3;188;16,7279220613579;
Dijkstra;2;File;Chebyshev;IfAtMostOneObstacle;Yes;3;188;16,7279220613579;
A* (A Star);3;File;Manhattan;IfAtMostOneObstacle;Yes;0;34;10,6568542494924;
A* (A Star);3;File;Euclidean;IfAtMostOneObstacle;Yes;0;40;10,6568542494924;
A* (A Star);3;File;Octile;IfAtMostOneObstacle;Yes;0;40;10,6568542494924;
A* (A Star);3;File;Chebyshev;IfAtMostOneObstacle;Yes;0;45;10,6568542494924;
Best First Search;3;File;Manhattan;IfAtMostOneObstacle;Yes;0;45;10,6568542494924;
Best First Search;3;File;Euclidean;IfAtMostOneObstacle;Yes;0;45;10,6568542494924;
Best First Search;3;File;Octile;IfAtMostOneObstacle;Yes;0;45;10,6568542494924;
Best First Search;3;File;Chebyshev;IfAtMostOneObstacle;Yes;0;45;10,6568542494924;
Dijkstra;3;File;Manhattan;IfAtMostOneObstacle;Yes;3;160;10,6568542494924;
Dijkstra;3;File;Euclidean;IfAtMostOneObstacle;Yes;2;160;10,6568542494924;
Dijkstra;3;File;Octile;IfAtMostOneObstacle;Yes;2;160;10,6568542494924;
Dijkstra;3;File;Chebyshev;IfAtMostOneObstacle;Yes;2;160;10,6568542494924;
A* (A Star);4;File;Manhattan;IfAtMostOneObstacle;Yes;0;104;24,3137084989848;
A* (A Star);4;File;Euclidean;IfAtMostOneObstacle;Yes;1;128;24,3137084989848;
A* (A Star);4;File;Octile;IfAtMostOneObstacle;Yes;0;128;24,3137084989848;
A* (A Star);4;File;Chebyshev;IfAtMostOneObstacle;Yes;0;130;24,3137084989848;
Best First Search;4;File;Manhattan;IfAtMostOneObstacle;Yes;0;130;27,6274169979695;
Best First Search;4;File;Euclidean;IfAtMostOneObstacle;Yes;0;130;27,6274169979695;
Best First Search;4;File;Octile;IfAtMostOneObstacle;Yes;0;130;27,6274169979695;
Best First Search;4;File;Chebyshev;IfAtMostOneObstacle;Yes;0;130;24,3137084989848;
Dijkstra;4;File;Manhattan;IfAtMostOneObstacle;Yes;2;179;24,3137084989848;
Dijkstra;4;File;Euclidean;IfAtMostOneObstacle;Yes;3;179;24,3137084989848;
Dijkstra;4;File;Octile;IfAtMostOneObstacle;Yes;3;179;24,3137084989848;
Dijkstra;4;File;Chebyshev;IfAtMostOneObstacle;Yes;2;179;24,3137084989848;
A* (A Star);5;File;Manhattan;IfAtMostOneObstacle;Yes;0;120;33,7279220613579;
A* (A Star);5;File;Euclidean;IfAtMostOneObstacle;Yes;0;140;33,7279220613579;
A* (A Star);5;File;Octile;IfAtMostOneObstacle;Yes;2;140;33,7279220613579;
A* (A Star);5;File;Chebyshev;IfAtMostOneObstacle;Yes;0;154;33,7279220613579;
Best First Search;5;File;Manhattan;IfAtMostOneObstacle;Yes;0;154;36,2132034355964;
Best First Search;5;File;Euclidean;IfAtMostOneObstacle;Yes;0;154;36,2132034355964;
Best First Search;5;File;Octile;IfAtMostOneObstacle;Yes;0;154;36,2132034355964;
Best First Search;5;File;Chebyshev;IfAtMostOneObstacle;Yes;0;154;33,7279220613579;
