Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;Never;Yes;12;75;25;
A* (A Star);0;File;Euclidean;Never;Yes;0;84;25;
A* (A Star);0;File;Octile;Never;Yes;0;84;25;
A* (A Star);0;File;Chebyshev;Never;Yes;0;97;25;
Best First Search;0;File;Manhattan;Never;Yes;0;97;25;
Best First Search;0;File;Euclidean;Never;Yes;0;97;25;
Best First Search;0;File;Octile;Never;Yes;0;97;25;
Best First Search;0;File;Chebyshev;Never;Yes;0;97;25;
Dijkstra;0;File;Manhattan;Never;Yes;1;210;25;
Dijkstra;0;File;Euclidean;Never;Yes;0;210;25;
Dijkstra;0;File;Octile;Never;Yes;1;210;25;
Dijkstra;0;File;Chebyshev;Never;Yes;1;210;25;
A* (A Star);1;File;Manhattan;Never;Yes;0;61;16;
A* (A Star);1;File;Euclidean;Never;Yes;0;65;16;
A* (A Star);1;File;Octile;Never;Yes;0;65;16;
A* (A Star);1;File;Chebyshev;Never;Yes;0;68;16;
Best First Search;1;File;Manhattan;Never;Yes;0;68;18;
Best First Search;1;File;Euclidean;Never;Yes;0;68;16;
Best First Search;1;File;Octile;Never;Yes;0;68;16;
Best First Search;1;File;Chebyshev;Never;Yes;0;68;16;
Dijkstra;1;File;Manhattan;Never;Yes;0;148;16;
Dijkstra;1;File;Euclidean;Never;Yes;0;148;16;
Dijkstra;1;File;Octile;Never;Yes;0;148;16;
Dijkstra;1;File;Chebyshev;Never;Yes;0;148;16;
A* (A Star);2;File;Manhattan;Never;Yes;0;126;24;
A* (A Star);2;File;Euclidean;Never;Yes;0;157;24;
A* (A Star);2;File;Octile;Never;Yes;0;157;24;
A* (A Star);2;File;Chebyshev;Never;Yes;1;177;24;
Best First Search;2;File;Manhattan;Never;Yes;0;177;24;
Best First Search;2;File;Euclidean;Never;Yes;0;177;24;
Best First Search;2;File;Octile;Never;Yes;0;177;24;
Best First Search;2;File;Chebyshev;Never;Yes;0;177;24;
Dijkstra;2;File;Manhattan;Never;Yes;2;238;24;
Dijkstra;2;File;Euclidean;Never;Yes;1;238;24;
Dijkstra;2;File;Octile;Never;Yes;1;238;24;
Dijkstra;2;File;Chebyshev;Never;Yes;1;238;24;
A* (A Star);3;File;Manhattan;Never;Yes;0;99;30;
A* (A Star);3;File;Euclidean;Never;Yes;0;113;30;
A* (A Star);3;File;Octile;Never;Yes;0;113;30;
A* (A Star);3;File;Chebyshev;Never;Yes;0;120;30;
Best First Search;3;File;Manhattan;Never;Yes;0;120;30;
Best First Search;3;File;Euclidean;Never;Yes;0;120;30;
Best First Search;3;File;Octile;Never;Yes;0;120;30;
Best First Search;3;File;Chebyshev;Never;Yes;0;120;32;
Dijkstra;3;File;Manhattan;Never;Yes;0;202;30;
Dijkstra;3;File;Euclidean;Never;Yes;0;202;30;
Dijkstra;3;File;Octile;Never;Yes;1;202;30;
Dijkstra;3;File;Chebyshev;Never;Yes;0;202;30;
A* (A Star);4;File;Manhattan;Never;Yes;0;50;14;
A* (A Star);4;File;Euclidean;Never;Yes;0;60;14;
A* (A Star);4;File;Octile;Never;Yes;0;60;14;
A* (A Star);4;File;Chebyshev;Never;Yes;0;74;14;
Best First Search;4;File;Manhattan;Never;Yes;0;74;14;
Best First Search;4;File;Euclidean;Never;Yes;0;74;14;
Best First Search;4;File;Octile;Never;Yes;0;74;14;
Best First Search;4;File;Chebyshev;Never;Yes;0;74;14;
Dijkstra;4;File;Manhattan;Never;Yes;0;125;14;
Dijkstra;4;File;Euclidean;Never;Yes;0;125;14;
Dijkstra;4;File;Octile;Never;Yes;0;125;14;
Dijkstra;4;File;Chebyshev;Never;Yes;0;125;14;
A* (A Star);5;File;Manhattan;Never;Yes;0;63;25;
A* (A Star);5;File;Euclidean;Never;Yes;0;92;25;
A* (A Star);5;File;Octile;Never;Yes;0;92;25;
A* (A Star);5;File;Chebyshev;Never;Yes;0;103;25;
Best First Search;5;File;Manhattan;Never;Yes;0;103;25;
Best First Search;5;File;Euclidean;Never;Yes;0;103;25;
Best First Search;5;File;Octile;Never;Yes;0;103;25;
Best First Search;5;File;Chebyshev;Never;Yes;0;103;25;
Dijkstra;5;File;Manhattan;Never;Yes;0;151;25;
Dijkstra;5;File;Euclidean;Never;Yes;0;151;25;
Dijkstra;5;File;Octile;Never;Yes;0;151;25;
Dijkstra;5;File;Chebyshev;Never;Yes;0;151;25;
A* (A Star);6;File;Manhattan;Never;Yes;0;68;21;
A* (A Star);6;File;Euclidean;Never;Yes;0;96;21;
A* (A Star);6;File;Octile;Never;Yes;0;96;21;
A* (A Star);6;File;Chebyshev;Never;Yes;0;110;21;
Best First Search;6;File;Manhattan;Never;Yes;0;110;21;
Best First Search;6;File;Euclidean;Never;Yes;0;110;23;
Best First Search;6;File;Octile;Never;Yes;0;110;23;
Best First Search;6;File;Chebyshev;Never;Yes;0;110;23;
Dijkstra;6;File;Manhattan;Never;Yes;0;210;21;
Dijkstra;6;File;Euclidean;Never;Yes;1;210;21;
Dijkstra;6;File;Octile;Never;Yes;0;210;21;
Dijkstra;6;File;Chebyshev;Never;Yes;0;210;21;
A* (A Star);7;File;Manhattan;Never;Yes;0;61;18;
A* (A Star);7;File;Euclidean;Never;Yes;0;81;18;
A* (A Star);7;File;Octile;Never;Yes;0;81;18;
A* (A Star);7;File;Chebyshev;Never;Yes;0;99;18;
Best First Search;7;File;Manhattan;Never;Yes;0;99;18;
Best First Search;7;File;Euclidean;Never;Yes;0;99;22;
Best First Search;7;File;Octile;Never;Yes;0;99;22;
Best First Search;7;File;Chebyshev;Never;Yes;0;99;22;
Dijkstra;7;File;Manhattan;Never;Yes;1;218;18;
Dijkstra;7;File;Euclidean;Never;Yes;1;218;18;
Dijkstra;7;File;Octile;Never;Yes;1;218;18;
Dijkstra;7;File;Chebyshev;Never;Yes;1;218;18;
A* (A Star);8;File;Manhattan;Never;Yes;0;66;14;
A* (A Star);8;File;Euclidean;Never;Yes;0;72;14;
A* (A Star);8;File;Octile;Never;Yes;0;72;14;
A* (A Star);8;File;Chebyshev;Never;Yes;0;76;14;
Best First Search;8;File;Manhattan;Never;Yes;0;76;14;
Best First Search;8;File;Euclidean;Never;Yes;0;76;14;
Best First Search;8;File;Octile;Never;Yes;0;76;14;
Best First Search;8;File;Chebyshev;Never;Yes;0;76;16;
Dijkstra;8;File;Manhattan;Never;Yes;0;124;14;
Dijkstra;8;File;Euclidean;Never;Yes;0;124;14;
Dijkstra;8;File;Octile;Never;Yes;0;124;14;
Dijkstra;8;File;Chebyshev;Never;Yes;0;124;14;
A* (A Star);9;File;Manhattan;Never;Yes;0;20;9;
A* (A Star);9;File;Euclidean;Never;Yes;0;22;9;
A* (A Star);9;File;Octile;Never;Yes;0;22;9;
A* (A Star);9;File;Chebyshev;Never;Yes;0;31;9;
Best First Search;9;File;Manhattan;Never;Yes;0;31;9;
Best First Search;9;File;Euclidean;Never;Yes;0;31;9;
Best First Search;9;File;Octile;Never;Yes;0;31;9;
Best First Search;9;File;Chebyshev;Never;Yes;0;31;9;
Dijkstra;9;File;Manhattan;Never;Yes;0;65;9;
Dijkstra;9;File;Euclidean;Never;Yes;0;65;9;
Dijkstra;9;File;Octile;Never;Yes;0;65;9;
Dijkstra;9;File;Chebyshev;Never;Yes;0;65;9;
A* (A Star);10;File;Manhattan;Never;Yes;0;75;20;
