Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;729;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;60188;5416;125,539105243401;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;253666;5416;-1;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;546;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;146149;5416;118,124891681028;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;147;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;34557;5416;150,40916292849;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;95264;5416;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;76046;5416;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;55687;5416;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;59989;5416;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;133327;5416;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;185165;5416;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;424;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;107127;5416;237,078210486802;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;51672;5416;-1;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;59186;5416;-1;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;133;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;26616;5416;125,296464556282;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;159;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;32976;5416;126,953318805774;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;140;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;30262;5416;148,40916292849;
