Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;Never;Yes;12;99;20;
A* (A Star);0;File;Euclidean;Never;Yes;0;120;20;
A* (A Star);0;File;Octile;Never;Yes;0;120;20;
A* (A Star);0;File;Chebyshev;Never;Yes;0;131;20;
Best First Search;0;File;Manhattan;Never;Yes;0;131;24;
Best First Search;0;File;Euclidean;Never;Yes;0;131;24;
Best First Search;0;File;Octile;Never;Yes;0;131;24;
Best First Search;0;File;Chebyshev;Never;Yes;0;131;20;
Dijkstra;0;File;Manhattan;Never;Yes;3;378;20;
Dijkstra;0;File;Euclidean;Never;Yes;3;378;20;
Dijkstra;0;File;Octile;Never;Yes;2;378;20;
Dijkstra;0;File;Chebyshev;Never;Yes;2;378;20;
A* (A Star);1;File;Manhattan;Never;Yes;37;1314;107;
A* (A Star);1;File;Euclidean;Never;Yes;93;2262;107;
A* (A Star);1;File;Octile;Never;Yes;86;2262;107;
A* (A Star);1;File;Chebyshev;Never;Yes;101;2452;107;
Best First Search;1;File;Manhattan;Never;Yes;1;2452;119;
Best First Search;1;File;Euclidean;Never;Yes;1;2452;123;
Best First Search;1;File;Octile;Never;Yes;1;2452;123;
Best First Search;1;File;Chebyshev;Never;Yes;1;2452;113;
Dijkstra;1;File;Manhattan;Never;Yes;330;4593;107;
Dijkstra;1;File;Euclidean;Never;Yes;329;4593;107;
Dijkstra;1;File;Octile;Never;Yes;325;4593;107;
Dijkstra;1;File;Chebyshev;Never;Yes;314;4593;107;
A* (A Star);2;File;Manhattan;Never;Yes;30;1181;94;
A* (A Star);2;File;Euclidean;Never;Yes;52;1660;94;
A* (A Star);2;File;Octile;Never;Yes;48;1660;94;
A* (A Star);2;File;Chebyshev;Never;Yes;74;2005;94;
Best First Search;2;File;Manhattan;Never;Yes;2;2005;104;
Best First Search;2;File;Euclidean;Never;Yes;1;2005;96;
Best First Search;2;File;Octile;Never;Yes;1;2005;96;
Best First Search;2;File;Chebyshev;Never;Yes;1;2005;96;
Dijkstra;2;File;Manhattan;Never;Yes;503;5670;94;
Dijkstra;2;File;Euclidean;Never;Yes;505;5670;94;
Dijkstra;2;File;Octile;Never;Yes;505;5670;94;
Dijkstra;2;File;Chebyshev;Never;Yes;492;5670;94;
A* (A Star);3;File;Manhattan;Never;Yes;1;256;39;
A* (A Star);3;File;Euclidean;Never;Yes;2;334;39;
A* (A Star);3;File;Octile;Never;Yes;2;334;39;
