Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;146;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;25934;5045;119,710678118655;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;125;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;22387;5045;122,195959492893;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;114;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;18367;5045;113,367532368147;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;116;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;19116;5045;98,9827560572968;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;124166;5045;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;87175;5045;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;70347;5045;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;No;76720;5045;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;441;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;106513;5045;202,480230740355;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;277;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;71736;5045;188,965512114594;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;416;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;126361;5045;162,923881554251;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;865;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;219170;5045;205,208152801713;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;104;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;14446;5045;91,811183182043;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;93;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;15318;5045;98,8822509939085;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;145;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;30642;5045;136,195959492893;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;107;Genetic Algorithm;0;File;Manhattan;IfAtMostOneObstacle;Yes;15987;5045;98,1543289325506;
