Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;IfAtMostOneObstacle;Yes;19;353;67,2253967444161;
A* (A Star);0;File;Euclidean;IfAtMostOneObstacle;Yes;36;1015;67,2253967444161;
A* (A Star);0;File;Octile;IfAtMostOneObstacle;Yes;28;1015;67,2253967444161;
A* (A Star);0;File;Chebyshev;IfAtMostOneObstacle;Yes;71;1423;67,2253967444161;
Best First Search;0;File;Manhattan;IfAtMostOneObstacle;Yes;1;1423;67,2253967444161;
Best First Search;0;File;Euclidean;IfAtMostOneObstacle;Yes;1;1423;67,2253967444161;
Best First Search;0;File;Octile;IfAtMostOneObstacle;Yes;0;1423;67,2253967444161;
Best First Search;0;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1423;70,7401153701776;
Dijkstra;0;File;Manhattan;IfAtMostOneObstacle;Yes;723;5045;67,2253967444161;
Dijkstra;0;File;Euclidean;IfAtMostOneObstacle;Yes;699;5045;67,2253967444161;
Dijkstra;0;File;Octile;IfAtMostOneObstacle;Yes;711;5045;67,2253967444161;
Dijkstra;0;File;Chebyshev;IfAtMostOneObstacle;Yes;712;5045;67,2253967444161;
A* (A Star);1;File;Manhattan;IfAtMostOneObstacle;Yes;2;205;70,811183182043;
A* (A Star);1;File;Euclidean;IfAtMostOneObstacle;Yes;14;602;68,811183182043;
A* (A Star);1;File;Octile;IfAtMostOneObstacle;Yes;2;602;68,811183182043;
A* (A Star);1;File;Chebyshev;IfAtMostOneObstacle;Yes;39;1117;68,811183182043;
Best First Search;1;File;Manhattan;IfAtMostOneObstacle;Yes;1;1117;71,6396103067892;
Best First Search;1;File;Euclidean;IfAtMostOneObstacle;Yes;1;1117;71,6396103067892;
Best First Search;1;File;Octile;IfAtMostOneObstacle;Yes;1;1117;71,6396103067892;
Best First Search;1;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1117;73,4974746830583;
Dijkstra;1;File;Manhattan;IfAtMostOneObstacle;Yes;412;3745;68,811183182043;
Dijkstra;1;File;Euclidean;IfAtMostOneObstacle;Yes;426;3745;68,811183182043;
Dijkstra;1;File;Octile;IfAtMostOneObstacle;Yes;419;3745;68,811183182043;
Dijkstra;1;File;Chebyshev;IfAtMostOneObstacle;Yes;409;3745;68,811183182043;
A* (A Star);2;File;Manhattan;IfAtMostOneObstacle;Yes;1;191;75,6690475583121;
A* (A Star);2;File;Euclidean;IfAtMostOneObstacle;Yes;47;1022;74,8406204335659;
A* (A Star);2;File;Octile;IfAtMostOneObstacle;Yes;18;1022;74,8406204335659;
A* (A Star);2;File;Chebyshev;IfAtMostOneObstacle;Yes;68;1530;74,8406204335659;
Best First Search;2;File;Manhattan;IfAtMostOneObstacle;Yes;1;1530;79,811183182043;
Best First Search;2;File;Euclidean;IfAtMostOneObstacle;Yes;1;1530;79,811183182043;
Best First Search;2;File;Octile;IfAtMostOneObstacle;Yes;1;1530;79,811183182043;
Best First Search;2;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1530;74,8406204335659;
Dijkstra;2;File;Manhattan;IfAtMostOneObstacle;Yes;887;5635;74,8406204335659;
Dijkstra;2;File;Euclidean;IfAtMostOneObstacle;Yes;887;5635;74,8406204335659;
Dijkstra;2;File;Octile;IfAtMostOneObstacle;Yes;885;5635;74,8406204335659;
Dijkstra;2;File;Chebyshev;IfAtMostOneObstacle;Yes;880;5635;74,8406204335659;
A* (A Star);3;File;Manhattan;IfAtMostOneObstacle;Yes;0;80;28,3137084989848;
A* (A Star);3;File;Euclidean;IfAtMostOneObstacle;Yes;1;209;28,3137084989848;
A* (A Star);3;File;Octile;IfAtMostOneObstacle;Yes;1;209;28,3137084989848;
A* (A Star);3;File;Chebyshev;IfAtMostOneObstacle;Yes;3;278;28,3137084989848;
Best First Search;3;File;Manhattan;IfAtMostOneObstacle;Yes;0;278;28,3137084989848;
Best First Search;3;File;Euclidean;IfAtMostOneObstacle;Yes;0;278;33,8700576850888;
Best First Search;3;File;Octile;IfAtMostOneObstacle;Yes;0;278;33,8700576850888;
Best First Search;3;File;Chebyshev;IfAtMostOneObstacle;Yes;0;278;29,4852813742386;
Dijkstra;3;File;Manhattan;IfAtMostOneObstacle;Yes;91;1701;28,3137084989848;
Dijkstra;3;File;Euclidean;IfAtMostOneObstacle;Yes;92;1701;28,3137084989848;
Dijkstra;3;File;Octile;IfAtMostOneObstacle;Yes;92;1701;28,3137084989848;
Dijkstra;3;File;Chebyshev;IfAtMostOneObstacle;Yes;91;1701;28,3137084989848;
A* (A Star);4;File;Manhattan;IfAtMostOneObstacle;Yes;9;439;71,4264068711928;
A* (A Star);4;File;Euclidean;IfAtMostOneObstacle;Yes;30;961;71,4264068711928;
A* (A Star);4;File;Octile;IfAtMostOneObstacle;Yes;18;961;71,4264068711928;
A* (A Star);4;File;Chebyshev;IfAtMostOneObstacle;Yes;51;1253;71,4264068711928;
Best First Search;4;File;Manhattan;IfAtMostOneObstacle;Yes;0;1253;71,4264068711928;
Best First Search;4;File;Euclidean;IfAtMostOneObstacle;Yes;0;1253;71,4264068711928;
Best First Search;4;File;Octile;IfAtMostOneObstacle;Yes;0;1253;71,4264068711928;
Best First Search;4;File;Chebyshev;IfAtMostOneObstacle;Yes;0;1253;71,4264068711928;
Dijkstra;4;File;Manhattan;IfAtMostOneObstacle;Yes;512;4567;71,4264068711928;
Dijkstra;4;File;Euclidean;IfAtMostOneObstacle;Yes;550;4567;71,4264068711928;
Dijkstra;4;File;Octile;IfAtMostOneObstacle;Yes;536;4567;71,4264068711928;
Dijkstra;4;File;Chebyshev;IfAtMostOneObstacle;Yes;561;4567;71,4264068711928;
A* (A Star);5;File;Manhattan;IfAtMostOneObstacle;Yes;3;248;76,1837661840735;
A* (A Star);5;File;Euclidean;IfAtMostOneObstacle;Yes;50;1219;76,1837661840735;
A* (A Star);5;File;Octile;IfAtMostOneObstacle;Yes;28;1219;76,1837661840735;
A* (A Star);5;File;Chebyshev;IfAtMostOneObstacle;Yes;94;1725;76,1837661840735;
Best First Search;5;File;Manhattan;IfAtMostOneObstacle;Yes;1;1725;85,0538238691623;
Best First Search;5;File;Euclidean;IfAtMostOneObstacle;Yes;2;1725;85,0538238691623;
Best First Search;5;File;Octile;IfAtMostOneObstacle;Yes;1;1725;85,0538238691623;
Best First Search;5;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1725;79,698484809835;
Dijkstra;5;File;Manhattan;IfAtMostOneObstacle;Yes;1199;6316;76,1837661840735;
Dijkstra;5;File;Euclidean;IfAtMostOneObstacle;Yes;1218;6316;76,1837661840735;
Dijkstra;5;File;Octile;IfAtMostOneObstacle;Yes;1259;6316;76,1837661840735;
Dijkstra;5;File;Chebyshev;IfAtMostOneObstacle;Yes;1233;6316;76,1837661840735;
A* (A Star);6;File;Manhattan;IfAtMostOneObstacle;Yes;3;256;96,7695526217004;
A* (A Star);6;File;Euclidean;IfAtMostOneObstacle;Yes;90;1744;96,7695526217004;
A* (A Star);6;File;Octile;IfAtMostOneObstacle;Yes;80;1744;96,7695526217004;
A* (A Star);6;File;Chebyshev;IfAtMostOneObstacle;Yes;104;1903;96,7695526217004;
Best First Search;6;File;Manhattan;IfAtMostOneObstacle;Yes;2;1903;119,137084989847;
Best First Search;6;File;Euclidean;IfAtMostOneObstacle;Yes;2;1903;119,137084989847;
Best First Search;6;File;Octile;IfAtMostOneObstacle;Yes;2;1903;119,137084989847;
Best First Search;6;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1903;96,7695526217004;
Dijkstra;6;File;Manhattan;IfAtMostOneObstacle;Yes;742;5283;96,7695526217004;
Dijkstra;6;File;Euclidean;IfAtMostOneObstacle;Yes;774;5283;96,7695526217004;
Dijkstra;6;File;Octile;IfAtMostOneObstacle;Yes;759;5283;96,7695526217004;
Dijkstra;6;File;Chebyshev;IfAtMostOneObstacle;Yes;740;5283;96,7695526217004;
A* (A Star);7;File;Manhattan;IfAtMostOneObstacle;Yes;3;232;86,9411254969543;
A* (A Star);7;File;Euclidean;IfAtMostOneObstacle;Yes;67;1494;86,3553390593273;
A* (A Star);7;File;Octile;IfAtMostOneObstacle;Yes;45;1494;86,3553390593273;
A* (A Star);7;File;Chebyshev;IfAtMostOneObstacle;Yes;95;1742;86,3553390593273;
Best First Search;7;File;Manhattan;IfAtMostOneObstacle;Yes;1;1742;92,9827560572968;
Best First Search;7;File;Euclidean;IfAtMostOneObstacle;Yes;1;1742;92,9827560572968;
Best First Search;7;File;Octile;IfAtMostOneObstacle;Yes;1;1742;92,9827560572968;
