alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Always;Yes (22ms );22;397;101,911688245431;
A* (A Star);0;Euclidean;Always;Yes (665ms );665;1878;101,911688245431;
A* (A Star);0;Octile;Always;Yes (50ms );50;607;101,911688245431;
A* (A Star);0;Chebyshev;Always;Yes (1464ms );1464;2823;101,911688245431;
Best First Search;0;Manhattan;Always;Yes (8ms );8;291;110,195959492893;
Best First Search;0;Euclidean;Always;Yes (8ms );8;291;110,195959492893;
Best First Search;0;Octile;Always;Yes (8ms );8;291;110,195959492893;
Best First Search;0;Chebyshev;Always;Yes (6ms );6;243;105,426406871193;
IDA* (IDA Star);0;Manhattan;Always;Yes (10ms );10;0;105,426406871193;
IDA* (IDA Star);0;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);0;Octile;Always;Yes (0ms );0;0;105,426406871193;
IDA* (IDA Star);0;Chebyshev;Always;No;5001;0;-1;
Dijkstra;0;Manhattan;Always;Yes (9700ms );9700;6931;101,911688245431;
Dijkstra;0;Euclidean;Always;Yes (9706ms );9706;6931;101,911688245431;
Dijkstra;0;Octile;Always;Yes (9686ms );9686;6931;101,911688245431;
Dijkstra;0;Chebyshev;Always;Yes (9699ms );9699;6931;101,911688245431;
A* (A Star);1;Manhattan;Always;Yes (6ms );6;226;72,7695526217005;
A* (A Star);1;Euclidean;Always;Yes (134ms );134;929;72,1837661840735;
A* (A Star);1;Octile;Always;Yes (6ms );6;257;72,1837661840735;
A* (A Star);1;Chebyshev;Always;Yes (340ms );340;1442;72,1837661840735;
Best First Search;1;Manhattan;Always;Yes (3ms );3;184;78,5685424949238;
Best First Search;1;Euclidean;Always;Yes (3ms );3;184;77,9827560572969;
Best First Search;1;Octile;Always;Yes (3ms );3;184;77,9827560572969;
Best First Search;1;Chebyshev;Always;Yes (3ms );3;175;72,1837661840735;
IDA* (IDA Star);1;Manhattan;Always;Yes (0ms );0;0;75,5685424949238;
IDA* (IDA Star);1;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);1;Octile;Always;Yes (0ms );0;0;72,1837661840735;
IDA* (IDA Star);1;Chebyshev;Always;No;5001;0;-1;
Dijkstra;1;Manhattan;Always;Yes (2949ms );2949;3999;72,1837661840735;
Dijkstra;1;Euclidean;Always;Yes (3001ms );3001;3999;72,1837661840735;
Dijkstra;1;Octile;Always;Yes (2969ms );2969;3999;72,1837661840735;
Dijkstra;1;Chebyshev;Always;Yes (2960ms );2960;3999;72,1837661840735;
