alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;155;58,5685424949238;
A* (A Star);0;Euclidean;IfAtMostOneObstacle;Yes (3ms );3;157;58,5685424949238;
A* (A Star);0;Octile;IfAtMostOneObstacle;Yes (3ms );3;179;58,5685424949238;
A* (A Star);0;Chebyshev;IfAtMostOneObstacle;Yes (106ms );106;808;58,5685424949238;
Best First Search;0;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;155;58,5685424949238;
Best First Search;0;Euclidean;IfAtMostOneObstacle;Yes (2ms );2;155;58,5685424949238;
Best First Search;0;Octile;IfAtMostOneObstacle;Yes (2ms );2;155;58,5685424949238;
Best First Search;0;Chebyshev;IfAtMostOneObstacle;Yes (3ms );3;169;62,6690475583121;
IDA* (IDA Star);0;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);0;Euclidean;IfAtMostOneObstacle;Yes (13ms );13;0;62,6690475583121;
IDA* (IDA Star);0;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;62,6690475583121;
IDA* (IDA Star);0;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;0;Manhattan;IfAtMostOneObstacle;Yes (6623ms );6623;5792;58,5685424949238;
Dijkstra;0;Euclidean;IfAtMostOneObstacle;Yes (6572ms );6572;5792;58,5685424949238;
Dijkstra;0;Octile;IfAtMostOneObstacle;Yes (6497ms );6497;5792;58,5685424949238;
Dijkstra;0;Chebyshev;IfAtMostOneObstacle;Yes (6511ms );6511;5792;58,5685424949238;
A* (A Star);1;Manhattan;IfAtMostOneObstacle;Yes (181ms );181;1076;102,982756057297;
A* (A Star);1;Euclidean;IfAtMostOneObstacle;Yes (893ms );893;2332;102,982756057297;
A* (A Star);1;Octile;IfAtMostOneObstacle;Yes (710ms );710;2054;102,982756057297;
A* (A Star);1;Chebyshev;IfAtMostOneObstacle;Yes (1237ms );1237;2686;102,982756057297;
Best First Search;1;Manhattan;IfAtMostOneObstacle;Yes (8ms );8;279;112,923881554251;
Best First Search;1;Euclidean;IfAtMostOneObstacle;Yes (7ms );7;268;112,923881554251;
Best First Search;1;Octile;IfAtMostOneObstacle;Yes (7ms );7;268;112,923881554251;
Best First Search;1;Chebyshev;IfAtMostOneObstacle;Yes (7ms );7;272;102,982756057297;
IDA* (IDA Star);1;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);1;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);1;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);1;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;1;Manhattan;IfAtMostOneObstacle;Yes (5733ms );5733;5652;102,982756057297;
Dijkstra;1;Euclidean;IfAtMostOneObstacle;Yes (5720ms );5720;5652;102,982756057297;
Dijkstra;1;Octile;IfAtMostOneObstacle;Yes (5741ms );5741;5652;102,982756057297;
Dijkstra;1;Chebyshev;IfAtMostOneObstacle;Yes (5730ms );5730;5652;102,982756057297;
