alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Never;Yes (5ms );5;198;44;
A* (A Star);0;Euclidean;Never;Yes (9ms );9;295;44;
A* (A Star);0;Octile;Never;Yes (9ms );9;270;44;
A* (A Star);0;Chebyshev;Never;Yes (11ms );11;352;44;
Best First Search;0;Manhattan;Never;Yes (1ms );1;107;44;
Best First Search;0;Euclidean;Never;Yes (0ms );0;99;44;
Best First Search;0;Octile;Never;Yes (0ms );0;99;44;
Best First Search;0;Chebyshev;Never;Yes (0ms );0;99;44;
IDA* (IDA Star);0;Manhattan;Never;Yes (16ms );16;0;44;
IDA* (IDA Star);0;Euclidean;Never;Yes (1840ms );1840;0;44;
IDA* (IDA Star);0;Octile;Never;Yes (39ms );39;0;44;
IDA* (IDA Star);0;Chebyshev;Never;Yes (106ms );106;0;44;
Dijkstra;0;Manhattan;Never;Yes (121ms );121;1152;44;
Dijkstra;0;Euclidean;Never;Yes (118ms );118;1152;44;
Dijkstra;0;Octile;Never;Yes (116ms );116;1152;44;
Dijkstra;0;Chebyshev;Never;Yes (118ms );118;1152;44;
A* (A Star);1;Manhattan;Never;Yes (0ms );0;52;21;
A* (A Star);1;Euclidean;Never;Yes (0ms );0;52;21;
A* (A Star);1;Octile;Never;Yes (0ms );0;52;21;
A* (A Star);1;Chebyshev;Never;Yes (0ms );0;52;21;
Best First Search;1;Manhattan;Never;Yes (0ms );0;52;21;
Best First Search;1;Euclidean;Never;Yes (0ms );0;52;21;
Best First Search;1;Octile;Never;Yes (0ms );0;52;21;
Best First Search;1;Chebyshev;Never;Yes (0ms );0;52;21;
IDA* (IDA Star);1;Manhattan;Never;Yes (0ms );0;0;21;
IDA* (IDA Star);1;Euclidean;Never;Yes (0ms );0;0;21;
IDA* (IDA Star);1;Octile;Never;Yes (0ms );0;0;21;
IDA* (IDA Star);1;Chebyshev;Never;Yes (0ms );0;0;21;
Dijkstra;1;Manhattan;Never;Yes (52ms );52;753;21;
Dijkstra;1;Euclidean;Never;Yes (52ms );52;753;21;
Dijkstra;1;Octile;Never;Yes (56ms );56;753;21;
