alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;120;45,2132034355964;
A* (A Star);0;Euclidean;OnlyWhenNoObstacles;Yes (21ms );21;394;45,2132034355964;
A* (A Star);0;Octile;OnlyWhenNoObstacles;Yes (15ms );15;334;45,2132034355964;
A* (A Star);0;Chebyshev;OnlyWhenNoObstacles;Yes (36ms );36;523;45,2132034355964;
Best First Search;0;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;108;48,6274169979695;
Best First Search;0;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;108;48,6274169979695;
Best First Search;0;Octile;OnlyWhenNoObstacles;Yes (1ms );1;108;48,6274169979695;
Best First Search;0;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;104;48,142135623731;
IDA* (IDA Star);0;Manhattan;OnlyWhenNoObstacles;Yes (22ms );22;0;48,142135623731;
IDA* (IDA Star);0;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);0;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);0;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;0;Manhattan;OnlyWhenNoObstacles;Yes (485ms );485;1855;45,2132034355964;
Dijkstra;0;Euclidean;OnlyWhenNoObstacles;Yes (484ms );484;1855;45,2132034355964;
Dijkstra;0;Octile;OnlyWhenNoObstacles;Yes (498ms );498;1855;45,2132034355964;
Dijkstra;0;Chebyshev;OnlyWhenNoObstacles;Yes (494ms );494;1855;45,2132034355964;
A* (A Star);1;Manhattan;OnlyWhenNoObstacles;Yes (6ms );6;228;62,7279220613579;
A* (A Star);1;Euclidean;OnlyWhenNoObstacles;Yes (80ms );80;750;62,7279220613578;
A* (A Star);1;Octile;OnlyWhenNoObstacles;Yes (62ms );62;659;62,7279220613578;
A* (A Star);1;Chebyshev;OnlyWhenNoObstacles;Yes (114ms );114;895;62,7279220613578;
Best First Search;1;Manhattan;OnlyWhenNoObstacles;Yes (2ms );2;149;67,9411254969543;
Best First Search;1;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;148;67,9411254969543;
Best First Search;1;Octile;OnlyWhenNoObstacles;Yes (2ms );2;148;67,9411254969543;
Best First Search;1;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;134;63,8994949366117;
IDA* (IDA Star);1;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;63,8994949366117;
IDA* (IDA Star);1;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);1;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);1;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;1;Manhattan;OnlyWhenNoObstacles;Yes (895ms );895;2468;62,7279220613578;
Dijkstra;1;Euclidean;OnlyWhenNoObstacles;Yes (901ms );901;2468;62,7279220613578;
Dijkstra;1;Octile;OnlyWhenNoObstacles;Yes (904ms );904;2468;62,7279220613578;
Dijkstra;1;Chebyshev;OnlyWhenNoObstacles;Yes (899ms );899;2468;62,7279220613578;
A* (A Star);2;Manhattan;OnlyWhenNoObstacles;Yes (3ms );3;189;95,6690475583121;
A* (A Star);2;Euclidean;OnlyWhenNoObstacles;Yes (416ms );416;1705;95,6690475583121;
A* (A Star);2;Octile;OnlyWhenNoObstacles;Yes (210ms );210;1217;95,6690475583121;
A* (A Star);2;Chebyshev;OnlyWhenNoObstacles;Yes (667ms );667;2131;95,6690475583121;
Best First Search;2;Manhattan;OnlyWhenNoObstacles;Yes (3ms );3;188;95,6690475583121;
Best First Search;2;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;188;95,6690475583121;
Best First Search;2;Octile;OnlyWhenNoObstacles;Yes (3ms );3;188;95,6690475583121;
Best First Search;2;Chebyshev;OnlyWhenNoObstacles;Yes (3ms );3;177;102,112698372208;
IDA* (IDA Star);2;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;102,112698372208;
IDA* (IDA Star);2;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);2;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);2;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;2;Manhattan;OnlyWhenNoObstacles;Yes (5011ms );5011;5538;95,6690475583121;
Dijkstra;2;Euclidean;OnlyWhenNoObstacles;Yes (4972ms );4972;5538;95,6690475583121;
Dijkstra;2;Octile;OnlyWhenNoObstacles;Yes (4998ms );4998;5538;95,6690475583121;
Dijkstra;2;Chebyshev;OnlyWhenNoObstacles;Yes (4958ms );4958;5538;95,6690475583121;
A* (A Star);3;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;105;32,0710678118655;
A* (A Star);3;Euclidean;OnlyWhenNoObstacles;Yes (6ms );6;205;32,0710678118655;
A* (A Star);3;Octile;OnlyWhenNoObstacles;Yes (5ms );5;193;32,0710678118655;
A* (A Star);3;Chebyshev;OnlyWhenNoObstacles;Yes (10ms );10;268;32,0710678118655;
Best First Search;3;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;84;38,8994949366117;
Best First Search;3;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;78;34,8994949366117;
Best First Search;3;Octile;OnlyWhenNoObstacles;Yes (0ms );0;78;34,8994949366117;
Best First Search;3;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;79;32,6568542494924;
IDA* (IDA Star);3;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;32,6568542494924;
IDA* (IDA Star);3;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);3;Octile;OnlyWhenNoObstacles;Yes (137ms );137;0;32,6568542494924;
IDA* (IDA Star);3;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;3;Manhattan;OnlyWhenNoObstacles;Yes (508ms );508;1856;32,0710678118655;
Dijkstra;3;Euclidean;OnlyWhenNoObstacles;Yes (505ms );505;1856;32,0710678118655;
Dijkstra;3;Octile;OnlyWhenNoObstacles;Yes (512ms );512;1856;32,0710678118655;
Dijkstra;3;Chebyshev;OnlyWhenNoObstacles;Yes (518ms );518;1856;32,0710678118655;
A* (A Star);4;Manhattan;OnlyWhenNoObstacles;Yes (265ms );265;1457;109,213203435596;
A* (A Star);4;Euclidean;OnlyWhenNoObstacles;Yes (941ms );941;2698;109,213203435596;
A* (A Star);4;Octile;OnlyWhenNoObstacles;Yes (806ms );806;2500;109,213203435596;
A* (A Star);4;Chebyshev;OnlyWhenNoObstacles;Yes (1361ms );1361;3231;109,213203435596;
Best First Search;4;Manhattan;OnlyWhenNoObstacles;Yes (7ms );7;266;109,213203435596;
Best First Search;4;Euclidean;OnlyWhenNoObstacles;Yes (6ms );6;266;109,213203435596;
Best First Search;4;Octile;OnlyWhenNoObstacles;Yes (6ms );6;266;109,213203435596;
Best First Search;4;Chebyshev;OnlyWhenNoObstacles;Yes (5ms );5;254;109,213203435596;
IDA* (IDA Star);4;Manhattan;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);4;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);4;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);4;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;4;Manhattan;OnlyWhenNoObstacles;Yes (4539ms );4539;5743;109,213203435596;
Dijkstra;4;Euclidean;OnlyWhenNoObstacles;Yes (4557ms );4557;5743;109,213203435596;
Dijkstra;4;Octile;OnlyWhenNoObstacles;Yes (4660ms );4660;5743;109,213203435596;
Dijkstra;4;Chebyshev;OnlyWhenNoObstacles;Yes (4662ms );4662;5743;109,213203435596;
A* (A Star);5;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;232;95,4142135623731;
A* (A Star);5;Euclidean;OnlyWhenNoObstacles;Yes (45ms );45;662;95,4142135623731;
A* (A Star);5;Octile;OnlyWhenNoObstacles;Yes (35ms );35;565;95,4142135623731;
A* (A Star);5;Chebyshev;OnlyWhenNoObstacles;Yes (63ms );63;748;95,4142135623731;
Best First Search;5;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;231;95,4142135623731;
Best First Search;5;Euclidean;OnlyWhenNoObstacles;Yes (5ms );5;231;95,4142135623731;
Best First Search;5;Octile;OnlyWhenNoObstacles;Yes (5ms );5;231;95,4142135623731;
Best First Search;5;Chebyshev;OnlyWhenNoObstacles;Yes (6ms );6;234;96,8284271247462;
IDA* (IDA Star);5;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;96,8284271247462;
IDA* (IDA Star);5;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);5;Octile;OnlyWhenNoObstacles;Yes (22ms );22;0;96,8284271247462;
IDA* (IDA Star);5;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;5;Manhattan;OnlyWhenNoObstacles;Yes (5388ms );5388;5997;95,4142135623731;
Dijkstra;5;Euclidean;OnlyWhenNoObstacles;Yes (5440ms );5440;5997;95,4142135623731;
Dijkstra;5;Octile;OnlyWhenNoObstacles;Yes (5530ms );5530;5997;95,4142135623731;
Dijkstra;5;Chebyshev;OnlyWhenNoObstacles;Yes (5489ms );5489;5997;95,4142135623731;
A* (A Star);6;Manhattan;OnlyWhenNoObstacles;Yes (6ms );6;224;55,7989898732233;
A* (A Star);6;Euclidean;OnlyWhenNoObstacles;Yes (52ms );52;619;55,7989898732233;
A* (A Star);6;Octile;OnlyWhenNoObstacles;Yes (38ms );38;546;55,7989898732233;
A* (A Star);6;Chebyshev;OnlyWhenNoObstacles;Yes (85ms );85;802;55,7989898732233;
Best First Search;6;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;112;57,4558441227157;
Best First Search;6;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;112;57,4558441227157;
Best First Search;6;Octile;OnlyWhenNoObstacles;Yes (1ms );1;112;57,4558441227157;
Best First Search;6;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;123;58,7279220613578;
IDA* (IDA Star);6;Manhattan;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);6;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);6;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);6;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;6;Manhattan;OnlyWhenNoObstacles;Yes (1901ms );1901;3675;55,7989898732233;
Dijkstra;6;Euclidean;OnlyWhenNoObstacles;Yes (1923ms );1923;3675;55,7989898732233;
Dijkstra;6;Octile;OnlyWhenNoObstacles;Yes (1950ms );1950;3675;55,7989898732233;
Dijkstra;6;Chebyshev;OnlyWhenNoObstacles;Yes (1963ms );1963;3675;55,7989898732233;
A* (A Star);7;Manhattan;OnlyWhenNoObstacles;Yes (2ms );2;146;64,142135623731;
A* (A Star);7;Euclidean;OnlyWhenNoObstacles;Yes (87ms );87;883;64,1421356237309;
A* (A Star);7;Octile;OnlyWhenNoObstacles;Yes (73ms );73;778;64,1421356237309;
A* (A Star);7;Chebyshev;OnlyWhenNoObstacles;Yes (122ms );122;1034;64,1421356237309;
Best First Search;7;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;118;69,7989898732233;
Best First Search;7;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;106;64,1421356237309;
Best First Search;7;Octile;OnlyWhenNoObstacles;Yes (1ms );1;106;64,1421356237309;
Best First Search;7;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;115;68,9705627484771;
IDA* (IDA Star);7;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;68,9705627484771;
IDA* (IDA Star);7;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);7;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);7;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;7;Manhattan;OnlyWhenNoObstacles;Yes (1063ms );1063;2936;64,1421356237309;
Dijkstra;7;Euclidean;OnlyWhenNoObstacles;Yes (1070ms );1070;2936;64,1421356237309;
Dijkstra;7;Octile;OnlyWhenNoObstacles;Yes (1043ms );1043;2936;64,1421356237309;
Dijkstra;7;Chebyshev;OnlyWhenNoObstacles;Yes (1050ms );1050;2936;64,1421356237309;
A* (A Star);8;Manhattan;OnlyWhenNoObstacles;Yes (7ms );7;236;69,0710678118655;
A* (A Star);8;Euclidean;OnlyWhenNoObstacles;Yes (166ms );166;1097;69,0710678118655;
A* (A Star);8;Octile;OnlyWhenNoObstacles;Yes (127ms );127;961;69,0710678118655;
A* (A Star);8;Chebyshev;OnlyWhenNoObstacles;Yes (247ms );247;1321;69,0710678118655;
Best First Search;8;Manhattan;OnlyWhenNoObstacles;Yes (6ms );6;213;76,5269119345812;
Best First Search;8;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;190;76,5269119345812;
Best First Search;8;Octile;OnlyWhenNoObstacles;Yes (3ms );3;190;76,5269119345812;
Best First Search;8;Chebyshev;OnlyWhenNoObstacles;Yes (2ms );2;157;69,0710678118655;
IDA* (IDA Star);8;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;69,0710678118655;
IDA* (IDA Star);8;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);8;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);8;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;8;Manhattan;OnlyWhenNoObstacles;Yes (3592ms );3592;4642;69,0710678118655;
Dijkstra;8;Euclidean;OnlyWhenNoObstacles;Yes (3609ms );3609;4642;69,0710678118655;
Dijkstra;8;Octile;OnlyWhenNoObstacles;Yes (3407ms );3407;4642;69,0710678118655;
Dijkstra;8;Chebyshev;OnlyWhenNoObstacles;Yes (3407ms );3407;4642;69,0710678118655;
A* (A Star);9;Manhattan;OnlyWhenNoObstacles;Yes (3ms );3;193;79,4142135623731;
A* (A Star);9;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;199;79,4142135623731;
A* (A Star);9;Octile;OnlyWhenNoObstacles;Yes (3ms );3;197;79,4142135623731;
A* (A Star);9;Chebyshev;OnlyWhenNoObstacles;Yes (3ms );3;205;79,4142135623731;
Best First Search;9;Manhattan;OnlyWhenNoObstacles;Yes (4ms );4;193;79,4142135623731;
Best First Search;9;Euclidean;OnlyWhenNoObstacles;Yes (4ms );4;193;79,4142135623731;
Best First Search;9;Octile;OnlyWhenNoObstacles;Yes (3ms );3;193;79,4142135623731;
Best First Search;9;Chebyshev;OnlyWhenNoObstacles;Yes (4ms );4;207;84,8284271247462;
IDA* (IDA Star);9;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;84,8284271247462;
IDA* (IDA Star);9;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;0;84,8284271247462;
IDA* (IDA Star);9;Octile;OnlyWhenNoObstacles;Yes (0ms );0;0;84,8284271247462;
IDA* (IDA Star);9;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;0;84,8284271247462;
Dijkstra;9;Manhattan;OnlyWhenNoObstacles;Yes (3765ms );3765;4651;79,4142135623731;
Dijkstra;9;Euclidean;OnlyWhenNoObstacles;Yes (3782ms );3782;4651;79,4142135623731;
Dijkstra;9;Octile;OnlyWhenNoObstacles;Yes (3778ms );3778;4651;79,4142135623731;
Dijkstra;9;Chebyshev;OnlyWhenNoObstacles;Yes (3813ms );3813;4651;79,4142135623731;
A* (A Star);10;Manhattan;OnlyWhenNoObstacles;Yes (6ms );6;231;60,4142135623731;
A* (A Star);10;Euclidean;OnlyWhenNoObstacles;Yes (18ms );18;406;60,4142135623731;
A* (A Star);10;Octile;OnlyWhenNoObstacles;Yes (7ms );7;275;60,4142135623731;
A* (A Star);10;Chebyshev;OnlyWhenNoObstacles;Yes (25ms );25;468;60,4142135623731;
Best First Search;10;Manhattan;OnlyWhenNoObstacles;Yes (3ms );3;183;69,5269119345812;
Best First Search;10;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;183;69,5269119345812;
Best First Search;10;Octile;OnlyWhenNoObstacles;Yes (3ms );3;183;69,5269119345812;
Best First Search;10;Chebyshev;OnlyWhenNoObstacles;Yes (3ms );3;148;60,4142135623731;
IDA* (IDA Star);10;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;60,4142135623731;
IDA* (IDA Star);10;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);10;Octile;OnlyWhenNoObstacles;Yes (587ms );587;0;60,4142135623731;
IDA* (IDA Star);10;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;10;Manhattan;OnlyWhenNoObstacles;Yes (3134ms );3134;4579;60,4142135623731;
Dijkstra;10;Euclidean;OnlyWhenNoObstacles;Yes (3192ms );3192;4579;60,4142135623731;
Dijkstra;10;Octile;OnlyWhenNoObstacles;Yes (3133ms );3133;4579;60,4142135623731;
Dijkstra;10;Chebyshev;OnlyWhenNoObstacles;Yes (3113ms );3113;4579;60,4142135623731;
A* (A Star);11;Manhattan;OnlyWhenNoObstacles;Yes (3ms );3;162;47,4852813742386;
A* (A Star);11;Euclidean;OnlyWhenNoObstacles;Yes (49ms );49;580;47,4852813742386;
