alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Always;Yes (2ms );2;79;26,9705627484771;
A* (A Star);0;Euclidean;Always;Yes (2ms );2;134;24,7279220613579;
A* (A Star);0;Octile;Always;Yes (1ms );1;106;24,7279220613579;
A* (A Star);0;Chebyshev;Always;Yes (5ms );5;188;24,7279220613579;
Best First Search;0;Manhattan;Always;Yes (0ms );0;63;26,9705627484771;
Best First Search;0;Euclidean;Always;Yes (0ms );0;61;26,9705627484771;
Best First Search;0;Octile;Always;Yes (0ms );0;61;26,9705627484771;
Best First Search;0;Chebyshev;Always;Yes (0ms );0;70;26,9705627484771;
Dijkstra;0;Manhattan;Always;Yes (238ms );238;1152;24,7279220613579;
Dijkstra;0;Euclidean;Always;Yes (240ms );240;1152;24,7279220613579;
Dijkstra;0;Octile;Always;Yes (235ms );235;1152;24,7279220613579;
Dijkstra;0;Chebyshev;Always;Yes (231ms );231;1152;24,7279220613579;
A* (A Star);1;Manhattan;Always;Yes (18ms );18;350;72,3553390593273;
A* (A Star);1;Euclidean;Always;Yes (162ms );162;1000;71,2842712474619;
A* (A Star);1;Octile;Always;Yes (81ms );81;702;71,2842712474619;
A* (A Star);1;Chebyshev;Always;Yes (305ms );305;1323;71,2842712474619;
Best First Search;1;Manhattan;Always;Yes (3ms );3;182;77,3259018078045;
Best First Search;1;Euclidean;Always;Yes (3ms );3;180;77,3259018078045;
Best First Search;1;Octile;Always;Yes (3ms );3;180;77,3259018078045;
Best First Search;1;Chebyshev;Always;Yes (3ms );3;192;78,3553390593273;
Dijkstra;1;Manhattan;Always;Yes (3230ms );3230;4086;71,2842712474619;
Dijkstra;1;Euclidean;Always;Yes (3233ms );3233;4086;71,2842712474619;
Dijkstra;1;Octile;Always;Yes (3238ms );3238;4086;71,2842712474619;
Dijkstra;1;Chebyshev;Always;Yes (3232ms );3232;4086;71,2842712474619;
A* (A Star);2;Manhattan;Always;Yes (39ms );39;489;78,0121933088197;
A* (A Star);2;Euclidean;Always;Yes (151ms );151;933;76,3553390593273;
A* (A Star);2;Octile;Always;Yes (57ms );57;591;76,3553390593273;
A* (A Star);2;Chebyshev;Always;Yes (212ms );212;1093;76,3553390593273;
Best First Search;2;Manhattan;Always;Yes (4ms );4;205;84,3969696196699;
Best First Search;2;Euclidean;Always;Yes (4ms );4;202;84,3969696196699;
Best First Search;2;Octile;Always;Yes (4ms );4;202;84,3969696196699;
Best First Search;2;Chebyshev;Always;Yes (6ms );6;228;89,1837661840735;
Dijkstra;2;Manhattan;Always;Yes (3153ms );3153;4042;76,3553390593273;
Dijkstra;2;Euclidean;Always;Yes (3141ms );3141;4042;76,3553390593273;
Dijkstra;2;Octile;Always;Yes (3125ms );3125;4042;76,3553390593273;
Dijkstra;2;Chebyshev;Always;Yes (3129ms );3129;4042;76,3553390593273;
A* (A Star);3;Manhattan;Always;Yes (2ms );2;163;59,4974746830583;
A* (A Star);3;Euclidean;Always;Yes (22ms );22;386;59,4974746830583;
A* (A Star);3;Octile;Always;Yes (8ms );8;263;59,4974746830583;
A* (A Star);3;Chebyshev;Always;Yes (126ms );126;864;59,4974746830583;
Best First Search;3;Manhattan;Always;Yes (2ms );2;163;60,3259018078045;
Best First Search;3;Euclidean;Always;Yes (2ms );2;159;60,3259018078045;
Best First Search;3;Octile;Always;Yes (2ms );2;161;61,4974746830583;
Best First Search;3;Chebyshev;Always;Yes (2ms );2;166;63,254833995939;
Dijkstra;3;Manhattan;Always;Yes (2769ms );2769;3822;59,4974746830583;
Dijkstra;3;Euclidean;Always;Yes (2772ms );2772;3822;59,4974746830583;
Dijkstra;3;Octile;Always;Yes (2772ms );2772;3822;59,4974746830583;
Dijkstra;3;Chebyshev;Always;Yes (2765ms );2765;3822;59,4974746830583;
A* (A Star);4;Manhattan;Always;Yes (0ms );0;55;17,3137084989848;
A* (A Star);4;Euclidean;Always;Yes (0ms );0;64;15,8994949366117;
A* (A Star);4;Octile;Always;Yes (0ms );0;55;15,8994949366117;
A* (A Star);4;Chebyshev;Always;Yes (2ms );2;91;15,8994949366117;
Best First Search;4;Manhattan;Always;Yes (0ms );0;46;17,3137084989848;
Best First Search;4;Euclidean;Always;Yes (0ms );0;48;17,5563491861041;
Best First Search;4;Octile;Always;Yes (0ms );0;48;17,5563491861041;
Best First Search;4;Chebyshev;Always;Yes (0ms );0;40;15,8994949366117;
Dijkstra;4;Manhattan;Always;Yes (50ms );50;555;15,8994949366117;
Dijkstra;4;Euclidean;Always;Yes (51ms );51;555;15,8994949366117;
Dijkstra;4;Octile;Always;Yes (51ms );51;555;15,8994949366117;
Dijkstra;4;Chebyshev;Always;Yes (51ms );51;555;15,8994949366117;
A* (A Star);5;Manhattan;Always;Yes (5ms );5;222;77,8406204335659;
A* (A Star);5;Euclidean;Always;Yes (102ms );102;771;71,9827560572968;
A* (A Star);5;Octile;Always;Yes (23ms );23;416;71,9827560572968;
A* (A Star);5;Chebyshev;Always;Yes (308ms );308;1354;71,9827560572968;
Best First Search;5;Manhattan;Always;Yes (3ms );3;192;79,4974746830583;
Best First Search;5;Euclidean;Always;Yes (3ms );3;193;77,3969696196699;
Best First Search;5;Octile;Always;Yes (3ms );3;183;71,9827560572969;
Best First Search;5;Chebyshev;Always;Yes (4ms );4;204;75,1543289325507;
Dijkstra;5;Manhattan;Always;Yes (7170ms );7170;6009;71,9827560572968;
