alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;IfAtMostOneObstacle;Yes (49ms );49;428;78,7695526217004;
A* (A Star);0;Euclidean;IfAtMostOneObstacle;Yes (91ms );91;605;73,9411254969542;
A* (A Star);0;Octile;IfAtMostOneObstacle;Yes (26ms );26;352;73,9411254969542;
A* (A Star);0;Chebyshev;IfAtMostOneObstacle;Yes (216ms );216;967;73,9411254969542;
Best First Search;0;Manhattan;IfAtMostOneObstacle;Yes (16ms );16;340;115,195959492893;
Best First Search;0;Euclidean;IfAtMostOneObstacle;Yes (6ms );6;252;88,953318805774;
Best First Search;0;Octile;IfAtMostOneObstacle;Yes (8ms );8;259;89,6396103067892;
Best First Search;0;Chebyshev;IfAtMostOneObstacle;Yes (18ms );18;304;78,0416305603426;
Dijkstra;0;Manhattan;IfAtMostOneObstacle;Yes (5593ms );5593;4850;73,9411254969542;
Dijkstra;0;Euclidean;IfAtMostOneObstacle;Yes (5238ms );5238;4850;73,9411254969542;
Dijkstra;0;Octile;IfAtMostOneObstacle;Yes (5416ms );5416;4850;73,9411254969542;
Dijkstra;0;Chebyshev;IfAtMostOneObstacle;Yes (5379ms );5379;4850;73,9411254969542;
A* (A Star);1;Manhattan;IfAtMostOneObstacle;Yes (78ms );78;655;88,0832611206852;
A* (A Star);1;Euclidean;IfAtMostOneObstacle;Yes (318ms );318;1359;86,6690475583121;
A* (A Star);1;Octile;IfAtMostOneObstacle;Yes (263ms );263;1116;86,6690475583121;
A* (A Star);1;Chebyshev;IfAtMostOneObstacle;Yes (584ms );584;1773;86,6690475583121;
Best First Search;1;Manhattan;IfAtMostOneObstacle;Yes (8ms );8;278;98,6101730552663;
Best First Search;1;Euclidean;IfAtMostOneObstacle;Yes (6ms );6;254;101,438600180013;
Best First Search;1;Octile;IfAtMostOneObstacle;Yes (6ms );6;254;101,438600180013;
Best First Search;1;Chebyshev;IfAtMostOneObstacle;Yes (12ms );12;314;101,254833995939;
