alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Never;Yes (1ms );1;101;24;
A* (A Star);0;Euclidean;Never;Yes (1ms );1;114;24;
A* (A Star);0;Octile;Never;Yes (1ms );1;109;24;
A* (A Star);0;Chebyshev;Never;Yes (1ms );1;135;24;
Best First Search;0;Manhattan;Never;Yes (0ms );0;63;30;
Best First Search;0;Euclidean;Never;Yes (0ms );0;59;26;
Best First Search;0;Octile;Never;Yes (0ms );0;59;26;
Best First Search;0;Chebyshev;Never;Yes (0ms );0;61;24;
Dijkstra;0;Manhattan;Never;Yes (14ms );14;388;24;
Dijkstra;0;Euclidean;Never;Yes (13ms );13;388;24;
Dijkstra;0;Octile;Never;Yes (14ms );14;388;24;
Dijkstra;0;Chebyshev;Never;Yes (15ms );15;388;24;
A* (A Star);1;Manhattan;Never;Yes (439ms );439;2108;141;
A* (A Star);1;Euclidean;Never;Yes (1587ms );1587;3923;141;
A* (A Star);1;Octile;Never;Yes (1351ms );1351;3651;141;
A* (A Star);1;Chebyshev;Never;Yes (2185ms );2185;4617;141;
Best First Search;1;Manhattan;Never;Yes (8ms );8;313;153;
Best First Search;1;Euclidean;Never;Yes (8ms );8;320;153;
Best First Search;1;Octile;Never;Yes (10ms );10;343;159;
Best First Search;1;Chebyshev;Never;Yes (11ms );11;373;161;
Dijkstra;1;Manhattan;Never;Yes (4688ms );4688;6724;141;
Dijkstra;1;Euclidean;Never;Yes (4731ms );4731;6724;141;
Dijkstra;1;Octile;Never;Yes (4642ms );4642;6724;141;
Dijkstra;1;Chebyshev;Never;Yes (4651ms );4651;6724;141;
A* (A Star);2;Manhattan;Never;Yes (1ms );1;130;30;
A* (A Star);2;Euclidean;Never;Yes (2ms );2;166;30;
A* (A Star);2;Octile;Never;Yes (2ms );2;157;30;
A* (A Star);2;Chebyshev;Never;Yes (5ms );5;212;30;
Best First Search;2;Manhattan;Never;Yes (0ms );0;74;38;
Best First Search;2;Euclidean;Never;Yes (0ms );0;57;30;
Best First Search;2;Octile;Never;Yes (0ms );0;57;30;
Best First Search;2;Chebyshev;Never;Yes (0ms );0;63;30;
Dijkstra;2;Manhattan;Never;Yes (60ms );60;798;30;
Dijkstra;2;Euclidean;Never;Yes (57ms );57;798;30;
Dijkstra;2;Octile;Never;Yes (59ms );59;798;30;
Dijkstra;2;Chebyshev;Never;Yes (59ms );59;798;30;
A* (A Star);3;Manhattan;Never;Yes (92ms );92;964;86;
A* (A Star);3;Euclidean;Never;Yes (201ms );201;1462;86;
A* (A Star);3;Octile;Never;Yes (180ms );180;1376;86;
A* (A Star);3;Chebyshev;Never;Yes (253ms );253;1631;86;
Best First Search;3;Manhattan;Never;Yes (4ms );4;209;92;
Best First Search;3;Euclidean;Never;Yes (2ms );2;173;96;
Best First Search;3;Octile;Never;Yes (2ms );2;173;96;
Best First Search;3;Chebyshev;Never;Yes (2ms );2;176;92;
Dijkstra;3;Manhattan;Never;Yes (1747ms );1747;4194;86;
Dijkstra;3;Euclidean;Never;Yes (1738ms );1738;4194;86;
Dijkstra;3;Octile;Never;Yes (1751ms );1751;4194;86;
Dijkstra;3;Chebyshev;Never;Yes (1744ms );1744;4194;86;
A* (A Star);4;Manhattan;Never;Yes (22ms );22;478;75;
A* (A Star);4;Euclidean;Never;Yes (91ms );91;1004;75;
A* (A Star);4;Octile;Never;Yes (74ms );74;887;75;
A* (A Star);4;Chebyshev;Never;Yes (147ms );147;1220;75;
Best First Search;4;Manhattan;Never;Yes (3ms );3;210;95;
Best First Search;4;Euclidean;Never;Yes (3ms );3;183;87;
Best First Search;4;Octile;Never;Yes (2ms );2;183;87;
Best First Search;4;Chebyshev;Never;Yes (2ms );2;166;79;
Dijkstra;4;Manhattan;Never;Yes (1615ms );1615;4055;75;
Dijkstra;4;Euclidean;Never;Yes (1654ms );1654;4055;75;
Dijkstra;4;Octile;Never;Yes (1603ms );1603;4055;75;
Dijkstra;4;Chebyshev;Never;Yes (1596ms );1596;4055;75;
A* (A Star);5;Manhattan;Never;Yes (166ms );166;1326;93;
A* (A Star);5;Euclidean;Never;Yes (333ms );333;1907;93;
A* (A Star);5;Octile;Never;Yes (286ms );286;1751;93;
A* (A Star);5;Chebyshev;Never;Yes (514ms );514;2330;93;
Best First Search;5;Manhattan;Never;Yes (3ms );3;201;107;
Best First Search;5;Euclidean;Never;Yes (2ms );2;178;95;
Best First Search;5;Octile;Never;Yes (2ms );2;178;95;
Best First Search;5;Chebyshev;Never;Yes (3ms );3;196;93;
Dijkstra;5;Manhattan;Never;Yes (2825ms );2825;5325;93;
Dijkstra;5;Euclidean;Never;Yes (2835ms );2835;5325;93;
Dijkstra;5;Octile;Never;Yes (2828ms );2828;5325;93;
Dijkstra;5;Chebyshev;Never;Yes (2819ms );2819;5325;93;
A* (A Star);6;Manhattan;Never;Yes (174ms );174;1384;103;
A* (A Star);6;Euclidean;Never;Yes (326ms );326;1867;103;
A* (A Star);6;Octile;Never;Yes (259ms );259;1667;103;
A* (A Star);6;Chebyshev;Never;Yes (401ms );401;2060;103;
Best First Search;6;Manhattan;Never;Yes (6ms );6;269;117;
Best First Search;6;Euclidean;Never;Yes (3ms );3;217;109;
Best First Search;6;Octile;Never;Yes (12ms );12;371;165;
Best First Search;6;Chebyshev;Never;Yes (4ms );4;215;103;
Dijkstra;6;Manhattan;Never;Yes (2100ms );2100;4624;103;
Dijkstra;6;Euclidean;Never;Yes (2096ms );2096;4624;103;
Dijkstra;6;Octile;Never;Yes (2081ms );2081;4624;103;
Dijkstra;6;Chebyshev;Never;Yes (2094ms );2094;4624;103;
A* (A Star);7;Manhattan;Never;Yes (8ms );8;306;47;
A* (A Star);7;Euclidean;Never;Yes (15ms );15;412;47;
A* (A Star);7;Octile;Never;Yes (14ms );14;380;47;
A* (A Star);7;Chebyshev;Never;Yes (22ms );22;506;47;
Best First Search;7;Manhattan;Never;Yes (0ms );0;95;47;
Best First Search;7;Euclidean;Never;Yes (1ms );1;106;51;
Best First Search;7;Octile;Never;Yes (0ms );0;100;47;
Best First Search;7;Chebyshev;Never;Yes (0ms );0;102;49;
Dijkstra;7;Manhattan;Never;Yes (372ms );372;2010;47;
Dijkstra;7;Euclidean;Never;Yes (369ms );369;2010;47;
Dijkstra;7;Octile;Never;Yes (373ms );373;2010;47;
Dijkstra;7;Chebyshev;Never;Yes (371ms );371;2010;47;
A* (A Star);8;Manhattan;Never;Yes (10ms );10;346;58;
A* (A Star);8;Euclidean;Never;Yes (38ms );38;640;58;
A* (A Star);8;Octile;Never;Yes (23ms );23;508;58;
A* (A Star);8;Chebyshev;Never;Yes (67ms );67;844;58;
Best First Search;8;Manhattan;Never;Yes (1ms );1;127;58;
Best First Search;8;Euclidean;Never;Yes (1ms );1;135;66;
Best First Search;8;Octile;Never;Yes (1ms );1;137;66;
Best First Search;8;Chebyshev;Never;Yes (1ms );1;138;64;
Dijkstra;8;Manhattan;Never;Yes (376ms );376;2011;58;
Dijkstra;8;Euclidean;Never;Yes (377ms );377;2011;58;
Dijkstra;8;Octile;Never;Yes (374ms );374;2011;58;
Dijkstra;8;Chebyshev;Never;Yes (374ms );374;2011;58;
A* (A Star);9;Manhattan;Never;Yes (4ms );4;237;39;
A* (A Star);9;Euclidean;Never;Yes (8ms );8;310;39;
A* (A Star);9;Octile;Never;Yes (7ms );7;290;39;
A* (A Star);9;Chebyshev;Never;Yes (11ms );11;359;39;
Best First Search;9;Manhattan;Never;Yes (4ms );4;235;39;
Best First Search;9;Euclidean;Never;Yes (3ms );3;198;39;
Best First Search;9;Octile;Never;Yes (3ms );3;203;39;
Best First Search;9;Chebyshev;Never;Yes (4ms );4;217;39;
Dijkstra;9;Manhattan;Never;Yes (101ms );101;1025;39;
Dijkstra;9;Euclidean;Never;Yes (99ms );99;1025;39;
Dijkstra;9;Octile;Never;Yes (100ms );100;1025;39;
Dijkstra;9;Chebyshev;Never;Yes (100ms );100;1025;39;
A* (A Star);10;Manhattan;Never;Yes (274ms );274;1716;98;
A* (A Star);10;Euclidean;Never;Yes (519ms );519;2352;98;
A* (A Star);10;Octile;Never;Yes (468ms );468;2215;98;
A* (A Star);10;Chebyshev;Never;Yes (704ms );704;2730;98;
Best First Search;10;Manhattan;Never;Yes (12ms );12;370;118;
Best First Search;10;Euclidean;Never;Yes (10ms );10;325;120;
Best First Search;10;Octile;Never;Yes (9ms );9;333;120;
Best First Search;10;Chebyshev;Never;Yes (12ms );12;353;128;
Dijkstra;10;Manhattan;Never;Yes (4239ms );4239;6422;98;
Dijkstra;10;Euclidean;Never;Yes (4230ms );4230;6422;98;
Dijkstra;10;Octile;Never;Yes (4270ms );4270;6422;98;
Dijkstra;10;Chebyshev;Never;Yes (4277ms );4277;6422;98;
A* (A Star);11;Manhattan;Never;Yes (89ms );89;977;88;
A* (A Star);11;Euclidean;Never;Yes (239ms );239;1613;88;
A* (A Star);11;Octile;Never;Yes (205ms );205;1492;88;
A* (A Star);11;Chebyshev;Never;Yes (336ms );336;1913;88;
Best First Search;11;Manhattan;Never;Yes (4ms );4;213;94;
Best First Search;11;Euclidean;Never;Yes (3ms );3;206;104;
Best First Search;11;Octile;Never;Yes (4ms );4;220;106;
Best First Search;11;Chebyshev;Never;Yes (5ms );5;260;112;
Dijkstra;11;Manhattan;Never;Yes (2714ms );2714;5216;88;
Dijkstra;11;Euclidean;Never;Yes (2732ms );2732;5216;88;
Dijkstra;11;Octile;Never;Yes (2725ms );2725;5216;88;
Dijkstra;11;Chebyshev;Never;Yes (2729ms );2729;5216;88;
A* (A Star);12;Manhattan;Never;Yes (5ms );5;257;53;
A* (A Star);12;Euclidean;Never;Yes (15ms );15;405;53;
A* (A Star);12;Octile;Never;Yes (13ms );13;394;53;
A* (A Star);12;Chebyshev;Never;Yes (20ms );20;475;53;
Best First Search;12;Manhattan;Never;Yes (1ms );1;111;55;
Best First Search;12;Euclidean;Never;Yes (2ms );2;146;59;
Best First Search;12;Octile;Never;Yes (1ms );1;151;59;
Best First Search;12;Chebyshev;Never;Yes (2ms );2;161;55;
Dijkstra;12;Manhattan;Never;Yes (185ms );185;1416;53;
Dijkstra;12;Euclidean;Never;Yes (187ms );187;1416;53;
Dijkstra;12;Octile;Never;Yes (186ms );186;1416;53;
Dijkstra;12;Chebyshev;Never;Yes (183ms );183;1416;53;
A* (A Star);13;Manhattan;Never;Yes (302ms );302;1792;132;
A* (A Star);13;Euclidean;Never;Yes (819ms );819;2907;132;
A* (A Star);13;Octile;Never;Yes (728ms );728;2765;132;
A* (A Star);13;Chebyshev;Never;Yes (864ms );864;2997;132;
Best First Search;13;Manhattan;Never;Yes (8ms );8;322;142;
Best First Search;13;Euclidean;Never;Yes (6ms );6;269;138;
Best First Search;13;Octile;Never;Yes (6ms );6;273;146;
Best First Search;13;Chebyshev;Never;Yes (8ms );8;314;144;
Dijkstra;13;Manhattan;Never;Yes (2949ms );2949;5435;132;
Dijkstra;13;Euclidean;Never;Yes (2964ms );2964;5435;132;
Dijkstra;13;Octile;Never;Yes (2951ms );2951;5435;132;
Dijkstra;13;Chebyshev;Never;Yes (2969ms );2969;5435;132;
A* (A Star);14;Manhattan;Never;Yes (80ms );80;919;88;
A* (A Star);14;Euclidean;Never;Yes (186ms );186;1402;88;
A* (A Star);14;Octile;Never;Yes (165ms );165;1292;88;
A* (A Star);14;Chebyshev;Never;Yes (249ms );249;1632;88;
Best First Search;14;Manhattan;Never;Yes (8ms );8;329;112;
Best First Search;14;Euclidean;Never;Yes (5ms );5;262;108;
Best First Search;14;Octile;Never;Yes (6ms );6;292;112;
Best First Search;14;Chebyshev;Never;Yes (6ms );6;288;120;
Dijkstra;14;Manhattan;Never;Yes (2392ms );2392;4908;88;
Dijkstra;14;Euclidean;Never;Yes (2368ms );2368;4908;88;
Dijkstra;14;Octile;Never;Yes (2394ms );2394;4908;88;
Dijkstra;14;Chebyshev;Never;Yes (2383ms );2383;4908;88;
A* (A Star);15;Manhattan;Never;Yes (173ms );173;1364;80;
A* (A Star);15;Euclidean;Never;Yes (311ms );311;1797;80;
A* (A Star);15;Octile;Never;Yes (259ms );259;1665;80;
A* (A Star);15;Chebyshev;Never;Yes (407ms );407;2070;80;
Best First Search;15;Manhattan;Never;Yes (10ms );10;343;94;
Best First Search;15;Euclidean;Never;Yes (8ms );8;307;96;
Best First Search;15;Octile;Never;Yes (8ms );8;304;96;
Best First Search;15;Chebyshev;Never;Yes (8ms );8;306;98;
Dijkstra;15;Manhattan;Never;Yes (2952ms );2952;5428;80;
Dijkstra;15;Euclidean;Never;Yes (2953ms );2953;5428;80;
Dijkstra;15;Octile;Never;Yes (2992ms );2992;5428;80;
Dijkstra;15;Chebyshev;Never;Yes (2985ms );2985;5428;80;
A* (A Star);16;Manhattan;Never;Yes (73ms );73;870;103;
A* (A Star);16;Euclidean;Never;Yes (342ms );342;1899;103;
A* (A Star);16;Octile;Never;Yes (286ms );286;1730;103;
A* (A Star);16;Chebyshev;Never;Yes (410ms );410;2064;103;
Best First Search;16;Manhattan;Never;Yes (4ms );4;237;109;
Best First Search;16;Euclidean;Never;Yes (4ms );4;238;109;
Best First Search;16;Octile;Never;Yes (4ms );4;239;113;
Best First Search;16;Chebyshev;Never;Yes (4ms );4;241;121;
Dijkstra;16;Manhattan;Never;Yes (2482ms );2482;4969;103;
Dijkstra;16;Euclidean;Never;Yes (2458ms );2458;4969;103;
Dijkstra;16;Octile;Never;Yes (2506ms );2506;4969;103;
Dijkstra;16;Chebyshev;Never;Yes (2489ms );2489;4969;103;
A* (A Star);17;Manhattan;Never;Yes (86ms );86;922;75;
A* (A Star);17;Euclidean;Never;Yes (150ms );150;1274;75;
A* (A Star);17;Octile;Never;Yes (133ms );133;1194;75;
A* (A Star);17;Chebyshev;Never;Yes (211ms );211;1499;75;
Best First Search;17;Manhattan;Never;Yes (1ms );1;147;81;
Best First Search;17;Euclidean;Never;Yes (7ms );7;279;83;
Best First Search;17;Octile;Never;Yes (5ms );5;272;83;
Best First Search;17;Chebyshev;Never;Yes (19ms );19;315;81;
Dijkstra;17;Manhattan;Never;Yes (2006ms );2006;4482;75;
Dijkstra;17;Euclidean;Never;Yes (1972ms );1972;4482;75;
Dijkstra;17;Octile;Never;Yes (1984ms );1984;4482;75;
Dijkstra;17;Chebyshev;Never;Yes (1979ms );1979;4482;75;
A* (A Star);18;Manhattan;Never;Yes (71ms );71;883;91;
A* (A Star);18;Euclidean;Never;Yes (142ms );142;1235;91;
A* (A Star);18;Octile;Never;Yes (122ms );122;1147;91;
A* (A Star);18;Chebyshev;Never;Yes (193ms );193;1420;91;
Best First Search;18;Manhattan;Never;Yes (4ms );4;239;117;
Best First Search;18;Euclidean;Never;Yes (3ms );3;207;103;
Best First Search;18;Octile;Never;Yes (4ms );4;226;113;
Best First Search;18;Chebyshev;Never;Yes (4ms );4;241;105;
Dijkstra;18;Manhattan;Never;Yes (1365ms );1365;3737;91;
Dijkstra;18;Euclidean;Never;Yes (1357ms );1357;3737;91;
Dijkstra;18;Octile;Never;Yes (1352ms );1352;3737;91;
Dijkstra;18;Chebyshev;Never;Yes (1388ms );1388;3737;91;
A* (A Star);19;Manhattan;Never;Yes (15ms );15;403;62;
A* (A Star);19;Euclidean;Never;Yes (28ms );28;545;62;
A* (A Star);19;Octile;Never;Yes (25ms );25;498;62;
A* (A Star);19;Chebyshev;Never;Yes (40ms );40;643;62;
Best First Search;19;Manhattan;Never;Yes (2ms );2;186;68;
Best First Search;19;Euclidean;Never;Yes (1ms );1;134;68;
Best First Search;19;Octile;Never;Yes (1ms );1;136;68;
Best First Search;19;Chebyshev;Never;Yes (1ms );1;133;66;
Dijkstra;19;Manhattan;Never;Yes (877ms );877;3028;62;
Dijkstra;19;Euclidean;Never;Yes (865ms );865;3028;62;
Dijkstra;19;Octile;Never;Yes (869ms );869;3028;62;
Dijkstra;19;Chebyshev;Never;Yes (868ms );868;3028;62;
A* (A Star);20;Manhattan;Never;Yes (519ms );519;2329;118;
A* (A Star);20;Euclidean;Never;Yes (815ms );815;2920;118;
A* (A Star);20;Octile;Never;Yes (747ms );747;2813;118;
A* (A Star);20;Chebyshev;Never;Yes (1011ms );1011;3276;118;
Best First Search;20;Manhattan;Never;Yes (46ms );46;711;164;
Best First Search;20;Euclidean;Never;Yes (38ms );38;659;160;
Best First Search;20;Octile;Never;Yes (64ms );64;739;152;
Best First Search;20;Chebyshev;Never;Yes (44ms );44;697;134;
Dijkstra;20;Manhattan;Never;Yes (3282ms );3282;5700;118;
Dijkstra;20;Euclidean;Never;Yes (3268ms );3268;5700;118;
Dijkstra;20;Octile;Never;Yes (3252ms );3252;5700;118;
Dijkstra;20;Chebyshev;Never;Yes (3247ms );3247;5700;118;
A* (A Star);21;Manhattan;Never;Yes (2ms );2;164;32;
A* (A Star);21;Euclidean;Never;Yes (4ms );4;218;32;
A* (A Star);21;Octile;Never;Yes (4ms );4;200;32;
A* (A Star);21;Chebyshev;Never;Yes (6ms );6;262;32;
Best First Search;21;Manhattan;Never;Yes (0ms );0;75;38;
Best First Search;21;Euclidean;Never;Yes (0ms );0;88;32;
