alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;OnlyWhenNoObstacles;Yes (6ms );6;231;49,7279220613579;
A* (A Star);0;Euclidean;OnlyWhenNoObstacles;Yes (11ms );11;282;47,7279220613579;
A* (A Star);0;Octile;OnlyWhenNoObstacles;Yes (9ms );9;247;47,7279220613579;
A* (A Star);0;Chebyshev;OnlyWhenNoObstacles;Yes (11ms );11;298;47,7279220613579;
Best First Search;0;Manhattan;OnlyWhenNoObstacles;Yes (2ms );2;151;62,556349186104;
Best First Search;0;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;122;51,9705627484771;
Best First Search;0;Octile;OnlyWhenNoObstacles;Yes (1ms );1;122;51,9705627484771;
Best First Search;0;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;112;48,3137084989848;
Dijkstra;0;Manhattan;OnlyWhenNoObstacles;Yes (421ms );421;1705;47,7279220613579;
Dijkstra;0;Euclidean;OnlyWhenNoObstacles;Yes (404ms );404;1705;47,7279220613579;
Dijkstra;0;Octile;OnlyWhenNoObstacles;Yes (398ms );398;1705;47,7279220613579;
Dijkstra;0;Chebyshev;OnlyWhenNoObstacles;Yes (404ms );404;1705;47,7279220613579;
A* (A Star);1;Manhattan;OnlyWhenNoObstacles;Yes (13ms );13;345;66,4558441227157;
A* (A Star);1;Euclidean;OnlyWhenNoObstacles;Yes (79ms );79;785;66,2132034355964;
A* (A Star);1;Octile;OnlyWhenNoObstacles;Yes (52ms );52;656;66,2132034355964;
A* (A Star);1;Chebyshev;OnlyWhenNoObstacles;Yes (128ms );128;975;66,2132034355964;
Best First Search;1;Manhattan;OnlyWhenNoObstacles;Yes (2ms );2;162;74,556349186104;
Best First Search;1;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;140;66,4558441227157;
Best First Search;1;Octile;OnlyWhenNoObstacles;Yes (2ms );2;160;66,4558441227157;
Best First Search;1;Chebyshev;OnlyWhenNoObstacles;Yes (4ms );4;196;81,3847763108502;
Dijkstra;1;Manhattan;OnlyWhenNoObstacles;Yes (1322ms );1322;3042;66,2132034355964;
Dijkstra;1;Euclidean;OnlyWhenNoObstacles;Yes (1336ms );1336;3042;66,2132034355964;
Dijkstra;1;Octile;OnlyWhenNoObstacles;Yes (1325ms );1325;3042;66,2132034355964;
Dijkstra;1;Chebyshev;OnlyWhenNoObstacles;Yes (1340ms );1340;3042;66,2132034355964;
A* (A Star);2;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;187;40,0710678118655;
A* (A Star);2;Euclidean;OnlyWhenNoObstacles;Yes (7ms );7;250;40,0710678118655;
A* (A Star);2;Octile;OnlyWhenNoObstacles;Yes (6ms );6;240;40,0710678118655;
A* (A Star);2;Chebyshev;OnlyWhenNoObstacles;Yes (10ms );10;279;40,0710678118655;
Best First Search;2;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;111;42,8994949366117;
Best First Search;2;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;92;42,8994949366117;
Best First Search;2;Octile;OnlyWhenNoObstacles;Yes (0ms );0;92;42,8994949366117;
Best First Search;2;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;94;41,8284271247462;
Dijkstra;2;Manhattan;OnlyWhenNoObstacles;Yes (173ms );173;1104;40,0710678118655;
Dijkstra;2;Euclidean;OnlyWhenNoObstacles;Yes (162ms );162;1104;40,0710678118655;
Dijkstra;2;Octile;OnlyWhenNoObstacles;Yes (161ms );161;1104;40,0710678118655;
Dijkstra;2;Chebyshev;OnlyWhenNoObstacles;Yes (160ms );160;1104;40,0710678118655;
