alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength
A* (A Star);0;Manhattan;Never;Yes (6ms );6;226;37
A* (A Star);0;Euclidean;Never;Yes (7ms );7;281;37
A* (A Star);0;Octile;Never;Yes (14ms );14;264;37
A* (A Star);1;Manhattan;Never;Yes (1ms );1;109;20
A* (A Star);1;Euclidean;Never;Yes (1ms );1;133;20
A* (A Star);1;Octile;Never;Yes (1ms );1;125;20
A* (A Star);2;Manhattan;Never;Yes (1ms );1;101;20
A* (A Star);2;Euclidean;Never;Yes (1ms );1;122;20
A* (A Star);2;Octile;Never;Yes (1ms );1;116;20
A* (A Star);3;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;67;20
A* (A Star);3;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;102;20
A* (A Star);3;Octile;OnlyWhenNoObstacles;Yes (0ms );0;72;20
A* (A Star);4;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;33;13,65685425
A* (A Star);4;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;56;13,65685425
A* (A Star);4;Octile;OnlyWhenNoObstacles;Yes (0ms );0;55;13,65685425
A* (A Star);5;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;39;16
A* (A Star);5;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;48;16
A* (A Star);5;Octile;OnlyWhenNoObstacles;Yes (0ms );0;46;16
A* (A Star);6;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;120;35,04163056
A* (A Star);6;Euclidean;IfAtMostOneObstacle;Yes (13ms );13;296;35,04163056
A* (A Star);6;Octile;IfAtMostOneObstacle;Yes (10ms );10;262;35,04163056
A* (A Star);7;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;79;17,14213562
A* (A Star);7;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;93;17,14213562
A* (A Star);7;Octile;IfAtMostOneObstacle;Yes (1ms );1;89;17,14213562
A* (A Star);8;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;69;23,97056275
A* (A Star);8;Euclidean;IfAtMostOneObstacle;Yes (2ms );2;137;23,97056275
A* (A Star);8;Octile;IfAtMostOneObstacle;Yes (2ms );2;123;23,97056275
A* (A Star);9;Manhattan;Always;Yes (0ms );0;56;21,82842712
A* (A Star);9;Euclidean;Always;Yes (0ms );0;60;21,82842712
A* (A Star);9;Octile;Always;Yes (0ms );0;60;21,82842712
