alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Never;Yes (2ms );2;68;23;
A* (A Star);0;Euclidean;Never;Yes (0ms );0;75;23;
A* (A Star);0;Octile;Never;Yes (0ms );0;68;23;
A* (A Star);1;Manhattan;Never;Yes (0ms );0;85;20;
A* (A Star);1;Euclidean;Never;Yes (0ms );0;88;20;
A* (A Star);1;Octile;Never;Yes (0ms );0;86;20;
A* (A Star);2;Manhattan;Never;Yes (0ms );0;33;10;
A* (A Star);2;Euclidean;Never;Yes (0ms );0;35;10;
A* (A Star);2;Octile;Never;Yes (0ms );0;33;10;
A* (A Star);3;Manhattan;Never;Yes (6ms );6;251;44;
A* (A Star);3;Euclidean;Never;Yes (13ms );13;388;44;
A* (A Star);3;Octile;Never;Yes (11ms );11;361;44;
A* (A Star);4;Manhattan;Never;Yes (1ms );1;102;20;
A* (A Star);4;Euclidean;Never;Yes (1ms );1;111;20;
A* (A Star);4;Octile;Never;Yes (1ms );1;109;20;
A* (A Star);5;Manhattan;Never;Yes (10ms );10;342;46;
A* (A Star);5;Euclidean;Never;Yes (19ms );19;437;46;
A* (A Star);5;Octile;Never;Yes (17ms );17;416;46;
A* (A Star);6;Manhattan;Never;Yes (0ms );0;63;26;
A* (A Star);6;Euclidean;Never;Yes (1ms );1;111;26;
A* (A Star);6;Octile;Never;Yes (0ms );0;101;26;
A* (A Star);7;Manhattan;Never;Yes (0ms );0;58;21;
A* (A Star);7;Euclidean;Never;Yes (1ms );1;109;21;
A* (A Star);7;Octile;Never;Yes (1ms );1;103;21;
A* (A Star);8;Manhattan;Never;Yes (0ms );0;41;15;
A* (A Star);8;Euclidean;Never;Yes (0ms );0;41;15;
A* (A Star);8;Octile;Never;Yes (0ms );0;41;15;
A* (A Star);9;Manhattan;Never;Yes (0ms );0;34;12;
A* (A Star);9;Euclidean;Never;Yes (0ms );0;37;12;
A* (A Star);9;Octile;Never;Yes (0ms );0;34;12;
A* (A Star);10;Manhattan;Never;Yes (4ms );4;231;31;
A* (A Star);10;Euclidean;Never;Yes (6ms );6;263;31;
A* (A Star);10;Octile;Never;Yes (5ms );5;244;31;
A* (A Star);11;Manhattan;Never;Yes (0ms );0;34;14;
A* (A Star);11;Euclidean;Never;Yes (0ms );0;34;14;
A* (A Star);11;Octile;Never;Yes (0ms );0;34;14;
A* (A Star);12;Manhattan;Never;Yes (2ms );2;149;27;
A* (A Star);12;Euclidean;Never;Yes (2ms );2;172;27;
A* (A Star);12;Octile;Never;Yes (2ms );2;164;27;
A* (A Star);13;Manhattan;Never;Yes (0ms );0;30;11;
A* (A Star);13;Euclidean;Never;Yes (0ms );0;40;11;
A* (A Star);13;Octile;Never;Yes (0ms );0;36;11;
A* (A Star);14;Manhattan;Never;Yes (0ms );0;83;18;
A* (A Star);14;Euclidean;Never;Yes (0ms );0;93;18;
A* (A Star);14;Octile;Never;Yes (0ms );0;90;18;
A* (A Star);15;Manhattan;Never;Yes (1ms );1;100;24;
A* (A Star);15;Euclidean;Never;Yes (2ms );2;135;24;
A* (A Star);15;Octile;Never;Yes (2ms );2;127;24;
A* (A Star);16;Manhattan;Never;Yes (2ms );2;137;26;
A* (A Star);16;Euclidean;Never;Yes (3ms );3;168;26;
A* (A Star);16;Octile;Never;Yes (2ms );2;155;26;
A* (A Star);17;Manhattan;Never;Yes (4ms );4;208;29;
A* (A Star);17;Euclidean;Never;Yes (4ms );4;219;29;
A* (A Star);17;Octile;Never;Yes (4ms );4;216;29;
A* (A Star);18;Manhattan;Never;Yes (0ms );0;21;10;
A* (A Star);18;Euclidean;Never;Yes (0ms );0;21;10;
A* (A Star);18;Octile;Never;Yes (0ms );0;21;10;
A* (A Star);19;Manhattan;Never;Yes (0ms );0;30;9;
A* (A Star);19;Euclidean;Never;Yes (0ms );0;34;9;
A* (A Star);19;Octile;Never;Yes (0ms );0;30;9;
A* (A Star);20;Manhattan;Never;Yes (0ms );0;53;22;
A* (A Star);20;Euclidean;Never;Yes (0ms );0;105;22;
A* (A Star);20;Octile;Never;Yes (0ms );0;92;22;
A* (A Star);21;Manhattan;Never;Yes (0ms );0;69;16;
A* (A Star);21;Euclidean;Never;Yes (0ms );0;84;16;
A* (A Star);21;Octile;Never;Yes (0ms );0;80;16;
A* (A Star);22;Manhattan;Never;Yes (1ms );1;117;28;
A* (A Star);22;Euclidean;Never;Yes (2ms );2;143;28;
A* (A Star);22;Octile;Never;Yes (1ms );1;135;28;
A* (A Star);23;Manhattan;Never;Yes (0ms );0;38;14;
A* (A Star);23;Euclidean;Never;Yes (0ms );0;40;14;
A* (A Star);23;Octile;Never;Yes (0ms );0;38;14;
A* (A Star);24;Manhattan;Never;Yes (0ms );0;51;18;
A* (A Star);24;Euclidean;Never;Yes (0ms );0;73;18;
A* (A Star);24;Octile;Never;Yes (0ms );0;68;18;
A* (A Star);25;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;89;23,2426406871193;
A* (A Star);25;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;147;23,2426406871193;
A* (A Star);25;Octile;OnlyWhenNoObstacles;Yes (2ms );2;143;23,2426406871193;
A* (A Star);26;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;25;7,82842712474619;
A* (A Star);26;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;27;7,82842712474619;
A* (A Star);26;Octile;OnlyWhenNoObstacles;Yes (0ms );0;27;7,82842712474619;
A* (A Star);27;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;68;26,6568542494924;
A* (A Star);27;Euclidean;OnlyWhenNoObstacles;Yes (5ms );5;185;25,4852813742386;
A* (A Star);27;Octile;OnlyWhenNoObstacles;Yes (4ms );4;171;25,4852813742386;
A* (A Star);28;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;78;32,8284271247462;
A* (A Star);28;Euclidean;OnlyWhenNoObstacles;Yes (5ms );5;224;32,2426406871193;
A* (A Star);28;Octile;OnlyWhenNoObstacles;Yes (3ms );3;197;32,2426406871193;
A* (A Star);29;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;63;15,2426406871193;
A* (A Star);29;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;75;15,2426406871193;
A* (A Star);29;Octile;OnlyWhenNoObstacles;Yes (0ms );0;70;15,2426406871193;
A* (A Star);30;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;83;23,4142135623731;
A* (A Star);30;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;154;23,4142135623731;
A* (A Star);30;Octile;OnlyWhenNoObstacles;Yes (2ms );2;137;23,4142135623731;
A* (A Star);31;Manhattan;OnlyWhenNoObstacles;Yes (4ms );4;195;34,8284271247462;
A* (A Star);31;Euclidean;OnlyWhenNoObstacles;Yes (5ms );5;212;34,8284271247462;
A* (A Star);31;Octile;OnlyWhenNoObstacles;Yes (5ms );5;209;34,8284271247462;
A* (A Star);32;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;26;9;
A* (A Star);32;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;29;9;
A* (A Star);32;Octile;OnlyWhenNoObstacles;Yes (0ms );0;26;9;
A* (A Star);33;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;60;17,8284271247462;
A* (A Star);33;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;72;17,8284271247462;
A* (A Star);33;Octile;OnlyWhenNoObstacles;Yes (0ms );0;67;17,8284271247462;
A* (A Star);34;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;68;22,6568542494924;
A* (A Star);34;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;122;22,6568542494924;
A* (A Star);34;Octile;OnlyWhenNoObstacles;Yes (1ms );1;101;22,6568542494924;
A* (A Star);35;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;86;27,4852813742386;
A* (A Star);35;Euclidean;OnlyWhenNoObstacles;Yes (5ms );5;201;27,4852813742386;
A* (A Star);35;Octile;OnlyWhenNoObstacles;Yes (4ms );4;184;27,4852813742386;
A* (A Star);36;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;60;16,4142135623731;
