alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Never;Yes;0;33;10;
A* (A Star);0;Euclidean;Never;Yes;0;36;10;
A* (A Star);0;Octile;Never;Yes;0;34;10;
A* (A Star);0;Chebyshev;Never;Yes;0;38;10;
Best First Search;0;Manhattan;Never;Yes;0;24;10;
Best First Search;0;Euclidean;Never;Yes;0;21;10;
Best First Search;0;Octile;Never;Yes;0;21;10;
Best First Search;0;Chebyshev;Never;Yes;0;21;10;
Dijkstra;0;Manhattan;Never;Yes;0;66;10;
Dijkstra;0;Euclidean;Never;Yes;0;66;10;
Dijkstra;0;Octile;Never;Yes;0;66;10;
Dijkstra;0;Chebyshev;Never;Yes;0;66;10;
IDA* (IDA Star);0;Manhattan;Never;Yes;13;0;10;
IDA* (IDA Star);0;Euclidean;Never;Yes;0;0;10;
IDA* (IDA Star);0;Octile;Never;Yes;0;0;10;
IDA* (IDA Star);0;Chebyshev;Never;Yes;0;0;10;
A* (A Star);1;Manhattan;Never;Yes;0;42;12;
A* (A Star);1;Euclidean;Never;Yes;0;45;12;
A* (A Star);1;Octile;Never;Yes;0;43;12;
A* (A Star);1;Chebyshev;Never;Yes;0;49;12;
Best First Search;1;Manhattan;Never;Yes;0;41;12;
Best First Search;1;Euclidean;Never;Yes;0;41;12;
Best First Search;1;Octile;Never;Yes;0;41;12;
Best First Search;1;Chebyshev;Never;Yes;0;42;12;
Dijkstra;1;Manhattan;Never;Yes;1;102;12;
Dijkstra;1;Euclidean;Never;Yes;0;102;12;
Dijkstra;1;Octile;Never;Yes;0;102;12;
Dijkstra;1;Chebyshev;Never;Yes;0;102;12;
IDA* (IDA Star);1;Manhattan;Never;Yes;0;0;12;
IDA* (IDA Star);1;Euclidean;Never;Yes;1;0;12;
IDA* (IDA Star);1;Octile;Never;Yes;0;0;12;
IDA* (IDA Star);1;Chebyshev;Never;Yes;1;0;12;
A* (A Star);2;Manhattan;Never;Yes;0;61;17;
A* (A Star);2;Euclidean;Never;Yes;0;64;17;
A* (A Star);2;Octile;Never;Yes;0;63;17;
A* (A Star);2;Chebyshev;Never;Yes;0;73;17;
Best First Search;2;Manhattan;Never;Yes;0;67;17;
Best First Search;2;Euclidean;Never;Yes;0;63;17;
Best First Search;2;Octile;Never;Yes;0;53;17;
Best First Search;2;Chebyshev;Never;Yes;0;50;17;
Dijkstra;2;Manhattan;Never;Yes;0;107;17;
Dijkstra;2;Euclidean;Never;Yes;0;107;17;
Dijkstra;2;Octile;Never;Yes;0;107;17;
Dijkstra;2;Chebyshev;Never;Yes;0;107;17;
IDA* (IDA Star);2;Manhattan;Never;Yes;88;0;17;
IDA* (IDA Star);2;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);2;Octile;Never;Yes;557;0;17;
IDA* (IDA Star);2;Chebyshev;Never;Yes;309;0;17;
A* (A Star);3;Manhattan;Never;Yes;0;61;17;
A* (A Star);3;Euclidean;Never;Yes;0;64;17;
A* (A Star);3;Octile;Never;Yes;0;63;17;
A* (A Star);3;Chebyshev;Never;Yes;0;73;17;
Best First Search;3;Manhattan;Never;Yes;0;67;17;
Best First Search;3;Euclidean;Never;Yes;0;63;17;
Best First Search;3;Octile;Never;Yes;0;53;17;
Best First Search;3;Chebyshev;Never;Yes;0;50;17;
Dijkstra;3;Manhattan;Never;Yes;0;107;17;
Dijkstra;3;Euclidean;Never;Yes;0;107;17;
Dijkstra;3;Octile;Never;Yes;0;107;17;
Dijkstra;3;Chebyshev;Never;Yes;0;107;17;
IDA* (IDA Star);3;Manhattan;Never;Yes;71;0;17;
IDA* (IDA Star);3;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);3;Octile;Never;Yes;558;0;17;
IDA* (IDA Star);3;Chebyshev;Never;Yes;306;0;17;
A* (A Star);4;Manhattan;Never;Yes;0;84;24;
A* (A Star);4;Euclidean;Never;Yes;0;92;24;
A* (A Star);4;Octile;Never;Yes;0;90;24;
A* (A Star);4;Chebyshev;Never;Yes;0;103;24;
Best First Search;4;Manhattan;Never;Yes;0;47;26;
Best First Search;4;Euclidean;Never;Yes;0;47;26;
Best First Search;4;Octile;Never;Yes;0;47;26;
Best First Search;4;Chebyshev;Never;Yes;0;54;26;
Dijkstra;4;Manhattan;Never;Yes;2;227;24;
Dijkstra;4;Euclidean;Never;Yes;2;227;24;
Dijkstra;4;Octile;Never;Yes;2;227;24;
Dijkstra;4;Chebyshev;Never;Yes;2;227;24;
IDA* (IDA Star);4;Manhattan;Never;Yes;6;0;24;
IDA* (IDA Star);4;Euclidean;Never;No;1001;0;-1;
