alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);0;Manhattan;Never;Yes (3ms );3;175;48;
A* (A Star);0;Euclidean;Never;Yes (8ms );8;202;48;
A* (A Star);0;Octile;Never;Yes (3ms );3;199;48;
A* (A Star);0;Chebyshev;Never;Yes (4ms );4;209;48;
Best First Search;0;Manhattan;Never;Yes (1ms );1;125;54;
Best First Search;0;Euclidean;Never;Yes (1ms );1;96;48;
Best First Search;0;Octile;Never;Yes (0ms );0;97;48;
Best First Search;0;Chebyshev;Never;Yes (0ms );0;99;50;
Dijkstra;0;Manhattan;Never;Yes (5ms );5;262;48;
Dijkstra;0;Euclidean;Never;Yes (7ms );7;262;48;
Dijkstra;0;Octile;Never;Yes (4ms );4;262;48;
Dijkstra;0;Chebyshev;Never;Yes (5ms );5;262;48;
IDA* (IDA Star);0;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);0;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);0;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);0;Chebyshev;Never;No;1001;0;-1;
A* (A Star);1;Manhattan;Never;Yes (4ms );4;175;36;
A* (A Star);1;Euclidean;Never;Yes (3ms );3;204;36;
A* (A Star);1;Octile;Never;Yes (4ms );4;197;36;
A* (A Star);1;Chebyshev;Never;Yes (4ms );4;216;36;
Best First Search;1;Manhattan;Never;Yes (0ms );0;74;38;
Best First Search;1;Euclidean;Never;Yes (0ms );0;72;38;
Best First Search;1;Octile;Never;Yes (0ms );0;72;38;
Best First Search;1;Chebyshev;Never;Yes (0ms );0;72;38;
Dijkstra;1;Manhattan;Never;Yes (7ms );7;264;36;
Dijkstra;1;Euclidean;Never;Yes (7ms );7;264;36;
Dijkstra;1;Octile;Never;Yes (8ms );8;264;36;
Dijkstra;1;Chebyshev;Never;Yes (6ms );6;264;36;
IDA* (IDA Star);1;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);1;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);1;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);1;Chebyshev;Never;No;1001;0;-1;
A* (A Star);2;Manhattan;Never;Yes (1ms );1;154;33;
A* (A Star);2;Euclidean;Never;Yes (3ms );3;209;33;
A* (A Star);2;Octile;Never;Yes (2ms );2;200;33;
A* (A Star);2;Chebyshev;Never;Yes (5ms );5;227;33;
Best First Search;2;Manhattan;Never;Yes (0ms );0;65;33;
Best First Search;2;Euclidean;Never;Yes (0ms );0;67;35;
Best First Search;2;Octile;Never;Yes (0ms );0;67;35;
Best First Search;2;Chebyshev;Never;Yes (0ms );0;77;33;
Dijkstra;2;Manhattan;Never;Yes (10ms );10;280;33;
Dijkstra;2;Euclidean;Never;Yes (9ms );9;280;33;
Dijkstra;2;Octile;Never;Yes (7ms );7;280;33;
Dijkstra;2;Chebyshev;Never;Yes (9ms );9;280;33;
IDA* (IDA Star);2;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);2;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);2;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);2;Chebyshev;Never;No;1001;0;-1;
A* (A Star);3;Manhattan;Never;Yes (0ms );0;81;24;
A* (A Star);3;Euclidean;Never;Yes (1ms );1;96;24;
